id,formula_cal_id,source,val_pos,value,created
1,1,i,2,7.0,2023-08-16 23:45:13
2,1,e,4,8.0,2023-08-16 23:45:13
3,1,e,6,13.0,2023-08-16 23:45:13
4,2,i,2,7.0,2023-08-16 23:45:29
5,2,e,4,6.0,2023-08-16 23:45:29
6,2,e,6,6.0,2023-08-16 23:45:29
7,3,i,2,8.0,2023-08-16 23:45:47
8,3,e,4,8.0,2023-08-16 23:45:47
9,3,e,6,7.0,2023-08-16 23:45:47
10,4,i,2,9.0,2023-08-16 23:46:05
11,4,e,4,9.0,2023-08-16 23:46:05
12,4,e,6,10.0,2023-08-16 23:46:05
13,5,i,2,7.0,2023-08-16 23:46:14
14,5,e,4,5.0,2023-08-16 23:46:14
15,5,e,6,6.0,2023-08-16 23:46:14
16,6,i,2,6.0,2023-08-16 23:46:24
17,6,e,4,9.0,2023-08-16 23:46:24
18,6,e,6,9.0,2023-08-16 23:46:24
19,7,i,2,8.0,2023-08-16 23:46:32
20,7,e,4,4.0,2023-08-16 23:46:32
21,7,e,6,6.0,2023-08-16 23:46:32
22,8,i,2,6.0,2023-08-16 23:46:42
23,8,e,4,7.0,2023-08-16 23:46:42
24,8,e,6,17.0,2023-08-16 23:46:42
25,9,i,2,6.0,2023-08-16 23:47:01
26,9,e,4,8.0,2023-08-16 23:47:01
27,9,e,6,8.0,2023-08-16 23:47:01
28,10,i,2,10.0,2023-08-16 23:47:18
29,10,e,4,6.0,2023-08-16 23:47:18
30,10,e,6,8.0,2023-08-16 23:47:18
31,11,i,2,6.0,2023-08-16 23:47:27
32,11,e,4,7.0,2023-08-16 23:47:27
33,11,e,6,7.0,2023-08-16 23:47:27
34,12,i,2,6.0,2023-08-16 23:47:45
35,12,e,4,3.0,2023-08-16 23:47:45
36,12,e,6,3.0,2023-08-16 23:47:45
37,13,i,2,6.0,2023-08-16 23:48:02
38,13,e,4,3.0,2023-08-16 23:48:02
39,13,e,6,7.0,2023-08-16 23:48:02
40,14,i,2,7.0,2023-08-16 23:48:21
41,14,e,4,9.0,2023-08-16 23:48:21
42,14,e,6,1.0,2023-08-16 23:48:21
43,15,i,2,6.0,2023-08-16 23:48:39
44,15,e,4,5.0,2023-08-16 23:48:39
45,15,e,6,6.0,2023-08-16 23:48:39
