id,formula,calculated,created
1,,5.0,2023-08-08 12:57:59
2,,14.0,2023-08-08 12:58:08
3,,9.0,2023-08-08 12:58:17
4,,13.0,2023-08-08 12:58:26
5,,13.0,2023-08-08 12:58:35
6,,11.0,2023-08-08 12:58:44
7,,2.0,2023-08-08 12:58:53
8,,10.0,2023-08-08 12:59:02
9,,7.0,2023-08-08 12:59:11
10,,7.0,2023-08-08 12:59:20
11,,8.0,2023-08-08 12:59:29
12,,7.0,2023-08-08 12:59:38
13,,9.0,2023-08-08 12:59:47
14,,1.0,2023-08-08 12:59:56
15,,8.0,2023-08-08 13:00:05
