id,req_type,reciever_DT_ID,API_ID,value,created
1,GET,None,2,11.0,2023-08-24 01:19:39
2,GET,None,2,13.0,2023-08-24 01:19:40
3,GET,None,2,13.0,2023-08-24 01:19:41
4,GET,None,2,2.0,2023-08-24 01:19:41
5,GET,None,2,12.0,2023-08-24 01:19:41
6,GET,None,2,13.0,2023-08-24 01:19:41
7,GET,None,2,4.0,2023-08-24 01:19:42
8,GET,None,2,3.0,2023-08-24 01:19:43
9,GET,None,2,13.0,2023-08-24 01:19:43
10,GET,None,2,5.0,2023-08-24 01:19:43
11,GET,None,2,15.0,2023-08-24 01:19:43
12,GET,None,2,10.0,2023-08-24 01:19:44
13,GET,None,2,2.0,2023-08-24 01:19:45
14,GET,None,2,5.0,2023-08-24 01:19:46
15,GET,None,2,11.0,2023-08-24 01:19:53
16,GET,None,2,10.0,2023-08-24 01:19:54
17,GET,None,2,12.0,2023-08-24 01:19:55
18,GET,None,2,11.0,2023-08-24 01:19:55
19,GET,None,2,15.0,2023-08-24 01:19:55
20,GET,None,2,14.0,2023-08-24 01:19:56
21,GET,None,2,13.0,2023-08-24 01:19:57
22,GET,None,2,13.0,2023-08-24 01:19:57
23,GET,None,2,15.0,2023-08-24 01:19:57
24,GET,None,2,12.0,2023-08-24 01:19:58
25,GET,None,2,4.0,2023-08-24 01:19:58
26,GET,None,2,10.0,2023-08-24 01:19:58
27,GET,None,2,11.0,2023-08-24 01:19:58
28,GET,None,2,7.0,2023-08-24 01:19:59
29,GET,None,2,11.0,2023-08-24 01:19:59
30,GET,None,2,3.0,2023-08-24 01:19:59
31,GET,None,2,4.0,2023-08-24 01:19:59
32,GET,None,2,4.0,2023-08-24 01:19:59
33,GET,None,2,3.0,2023-08-24 01:20:00
34,GET,None,2,14.0,2023-08-24 01:20:00
35,GET,None,2,12.0,2023-08-24 01:20:00
36,GET,None,2,4.0,2023-08-24 01:20:01
37,GET,None,2,10.0,2023-08-24 01:20:01
38,GET,None,2,11.0,2023-08-24 01:20:01
39,GET,None,2,10.0,2023-08-24 01:20:01
40,GET,None,2,6.0,2023-08-24 01:20:01
41,GET,None,2,10.0,2023-08-24 01:20:01
42,GET,None,2,4.0,2023-08-24 01:20:01
43,GET,None,2,11.0,2023-08-24 01:20:02
44,GET,None,2,10.0,2023-08-24 01:20:02
45,GET,None,2,10.0,2023-08-24 01:20:02
46,GET,None,2,2.0,2023-08-24 01:20:02
47,GET,None,2,18.0,2023-08-24 01:20:02
48,GET,None,2,11.0,2023-08-24 01:20:02
49,GET,None,2,10.0,2023-08-24 01:20:03
50,GET,None,2,2.0,2023-08-24 01:20:04
51,GET,None,2,10.0,2023-08-24 01:20:04
52,GET,None,2,2.0,2023-08-24 01:20:04
53,GET,None,2,3.0,2023-08-24 01:20:04
54,GET,None,2,11.0,2023-08-24 01:20:04
55,GET,None,2,11.0,2023-08-24 01:20:04
56,GET,None,2,16.0,2023-08-24 01:20:04
57,GET,None,2,3.0,2023-08-24 01:20:05
58,GET,None,2,2.0,2023-08-24 01:20:06
59,GET,None,2,10.0,2023-08-24 01:20:06
60,GET,None,2,13.0,2023-08-24 01:20:06
61,GET,None,2,10.0,2023-08-24 01:20:06
62,GET,None,2,11.0,2023-08-24 01:20:07
63,GET,None,2,11.0,2023-08-24 01:20:07
64,GET,None,2,5.0,2023-08-24 01:20:07
65,GET,None,2,13.0,2023-08-24 01:20:08
66,GET,None,2,16.0,2023-08-24 01:20:08
67,GET,None,2,5.0,2023-08-24 01:20:08
68,GET,None,2,12.0,2023-08-24 01:20:08
69,GET,None,2,11.0,2023-08-24 01:20:08
70,GET,None,2,12.0,2023-08-24 01:20:08
71,GET,None,2,3.0,2023-08-24 01:20:08
72,GET,None,2,6.0,2023-08-24 01:20:08
73,GET,None,2,13.0,2023-08-24 01:20:08
74,GET,None,2,11.0,2023-08-24 01:20:08
