id,formula_cal_id,source,val_pos,value,created,status
1,2,i,2,7.0,2023-08-25 14:18:25,
2,2,e,4,4.0,2023-08-25 14:18:25,
3,2,e,6,4.0,2023-08-25 14:18:25,
4,3,i,2,9.0,2023-08-25 14:18:34,
5,3,e,4,4.0,2023-08-25 14:18:34,
6,3,e,6,4.0,2023-08-25 14:18:34,
7,4,i,2,11.0,2023-08-25 14:18:43,
8,4,e,4,4.0,2023-08-25 14:18:43,
9,4,e,6,4.0,2023-08-25 14:18:43,
10,5,i,2,7.0,2023-08-25 14:18:52,
11,5,e,4,4.0,2023-08-25 14:18:52,
12,5,e,6,4.0,2023-08-25 14:18:52,
13,6,i,2,10.0,2023-08-25 14:19:01,
14,6,e,4,4.0,2023-08-25 14:19:01,
15,6,e,6,4.0,2023-08-25 14:19:01,
16,7,i,2,8.0,2023-08-25 14:19:10,
17,7,e,4,4.0,2023-08-25 14:19:10,
18,7,e,6,4.0,2023-08-25 14:19:10,
19,8,i,2,10.0,2023-08-25 14:19:19,
20,8,e,4,4.0,2023-08-25 14:19:19,
21,8,e,6,4.0,2023-08-25 14:19:19,
22,9,i,2,8.0,2023-08-25 14:19:28,
23,9,e,4,4.0,2023-08-25 14:19:28,
24,9,e,6,4.0,2023-08-25 14:19:28,
25,10,i,2,10.0,2023-08-25 14:19:37,
26,10,e,4,4.0,2023-08-25 14:19:37,
27,10,e,6,4.0,2023-08-25 14:19:37,
28,11,i,2,7.0,2023-08-25 14:19:46,
29,11,e,4,4.0,2023-08-25 14:19:46,
30,11,e,6,4.0,2023-08-25 14:19:46,
31,12,i,2,13.0,2023-08-25 14:19:55,
32,12,e,4,4.0,2023-08-25 14:19:55,
33,12,e,6,4.0,2023-08-25 14:19:55,
34,13,i,2,7.0,2023-08-25 14:20:04,
35,13,e,4,4.0,2023-08-25 14:20:04,
36,13,e,6,4.0,2023-08-25 14:20:04,
37,14,i,2,7.0,2023-08-25 14:20:13,
38,14,e,4,4.0,2023-08-25 14:20:13,
39,14,e,6,4.0,2023-08-25 14:20:13,
40,15,i,2,10.0,2023-08-25 14:20:22,
41,15,e,4,4.0,2023-08-25 14:20:22,
42,15,e,6,4.0,2023-08-25 14:20:22,
43,16,i,2,8.0,2023-08-25 14:20:31,
44,16,e,4,4.0,2023-08-25 14:20:31,
45,16,e,6,4.0,2023-08-25 14:20:31,
