id,DT_ID,API_ID,elapsed_time,created
1,1,2,0.005319,2023-08-24 00:23:52
2,1,2,0.003229,2023-08-24 00:23:58
3,1,2,0.004956,2023-08-24 00:24:04
4,1,2,1.010305,2023-08-24 00:24:11
5,1,2,1.01403,2023-08-24 00:24:17
6,1,2,2.011757,2023-08-24 00:24:24
7,1,2,0.00688,2023-08-24 00:24:28
8,1,2,0.007048,2023-08-24 00:24:34
9,1,2,2.013664,2023-08-24 00:24:42
10,1,2,0.009539,2023-08-24 00:24:46
11,1,2,0.008785,2023-08-24 00:24:52
12,1,2,0.009134,2023-08-24 00:24:58
13,1,2,0.005215,2023-08-24 00:25:04
14,1,2,0.005644,2023-08-24 00:25:10
15,1,2,2.010984,2023-08-24 00:25:18
