id,DT_ID,API_ID,elapsed_time,created
1,5,99,1.020181,2023-08-16 23:45:18
2,5,99,0.002063,2023-08-16 23:45:26
3,5,99,0.018006,2023-08-16 23:45:35
4,5,99,0.005615,2023-08-16 23:45:44
5,5,99,0.004717,2023-08-16 23:45:53
6,5,99,0.003043,2023-08-16 23:46:02
7,5,99,0.005295,2023-08-16 23:46:11
8,5,99,1.012222,2023-08-16 23:46:21
9,5,99,0.006147,2023-08-16 23:46:29
10,5,99,0.006256,2023-08-16 23:46:38
11,5,99,0.00394,2023-08-16 23:46:47
12,5,99,0.005907,2023-08-16 23:46:56
13,5,99,0.004986,2023-08-16 23:47:05
14,5,99,0.003583,2023-08-16 23:47:14
15,5,99,0.006574,2023-08-16 23:47:28
