id,req_type,DT_ID,API_ID,value,used,created
1,POST,1,3,1.0,1,2023-08-18 00:49:22
2,POST,1,3,2.0,1,2023-08-18 00:49:23
3,POST,1,3,4.0,1,2023-08-18 00:49:30
4,POST,1,3,1.0,1,2023-08-18 00:49:30
5,POST,1,3,4.0,1,2023-08-18 00:49:39
6,POST,1,3,1.0,1,2023-08-18 00:49:40
7,POST,1,3,2.0,1,2023-08-18 00:49:47
8,POST,1,3,2.0,1,2023-08-18 00:49:48
9,POST,1,3,1.0,1,2023-08-18 00:49:54
10,POST,1,3,3.0,1,2023-08-18 00:49:55
11,POST,1,3,1.0,1,2023-08-18 00:50:02
12,POST,1,3,2.0,1,2023-08-18 00:50:03
13,POST,1,3,7.0,1,2023-08-18 00:50:10
14,POST,1,3,2.0,1,2023-08-18 00:50:10
15,POST,1,3,2.0,1,2023-08-18 00:50:18
16,POST,1,3,2.0,0,2023-08-18 00:50:18
17,POST,1,3,1.0,0,2023-08-18 00:50:26
18,POST,1,3,1.0,0,2023-08-18 00:50:27
19,POST,1,3,1.0,0,2023-08-18 00:50:35
20,POST,1,3,4.0,0,2023-08-18 00:50:35
21,POST,1,3,1.0,0,2023-08-18 00:50:43
22,POST,1,3,1.0,0,2023-08-18 00:50:43
23,POST,1,3,2.0,0,2023-08-18 00:50:50
24,POST,1,3,1.0,0,2023-08-18 00:50:50
25,POST,1,3,1.0,0,2023-08-18 00:50:58
26,POST,1,3,3.0,0,2023-08-18 00:50:58
27,POST,1,3,1.0,0,2023-08-18 00:51:07
28,POST,1,3,3.0,0,2023-08-18 00:51:07
29,POST,1,3,1.0,0,2023-08-18 00:51:14
30,POST,1,3,1.0,0,2023-08-18 00:51:14
31,POST,1,3,3.0,0,2023-08-18 00:51:23
32,POST,1,3,1.0,0,2023-08-18 00:51:24
33,POST,1,3,2.0,0,2023-08-18 00:51:30
34,POST,1,3,1.0,0,2023-08-18 00:51:31
