id,req_type,DT_ID,API_ID,value,used,created
1,POST,2,7,3.0,1,2023-05-25 12:24:38
2,POST,2,7,5.0,1,2023-05-25 12:24:46
3,POST,2,7,3.0,1,2023-05-25 12:24:53
4,POST,2,7,5.0,1,2023-05-25 12:25:01
5,POST,2,7,4.0,1,2023-05-25 12:25:06
6,POST,2,7,6.0,1,2023-05-25 12:25:15
7,POST,2,7,3.0,1,2023-05-25 12:25:22
8,POST,2,7,3.0,1,2023-05-25 12:25:28
9,POST,2,7,3.0,1,2023-05-25 12:25:35
10,POST,2,7,3.0,1,2023-05-25 12:25:42
11,POST,2,7,3.0,1,2023-05-25 12:25:50
12,POST,2,7,3.0,1,2023-05-25 12:25:55
13,POST,2,7,4.0,1,2023-05-25 12:26:03
14,POST,2,7,4.0,1,2023-05-25 12:26:11
15,POST,2,7,3.0,1,2023-05-25 12:26:18
16,POST,2,7,6.0,0,2023-05-25 12:26:25
