id,req_type,reciever_DT_ID,API_ID,value,created
1,GET,None,2,8.0,2023-08-08 12:57:55
2,GET,None,2,7.0,2023-08-08 12:58:04
3,GET,None,2,7.0,2023-08-08 12:58:16
4,GET,None,2,14.0,2023-08-08 12:58:24
5,GET,None,2,7.0,2023-08-08 12:58:36
6,GET,None,2,11.0,2023-08-08 12:58:55
7,GET,None,2,10.0,2023-08-08 12:59:04
8,GET,None,2,8.0,2023-08-08 12:59:14
9,GET,None,2,5.0,2023-08-08 12:59:24
10,GET,None,2,6.0,2023-08-08 12:59:34
11,GET,None,2,9.0,2023-08-08 12:59:46
12,GET,None,2,6.0,2023-08-08 13:00:04
13,GET,None,2,5.0,2023-08-08 13:00:16
14,GET,None,2,6.0,2023-08-08 13:00:34
15,GET,None,2,13.0,2023-08-08 13:00:46
