id,formula,calculated,created
1,,-1111111.0,2023-08-24 00:23:57
2,,88.0,2023-08-24 00:24:09
3,,64.0,2023-08-24 00:24:17
4,,80.0,2023-08-24 00:24:27
5,,60.0,2023-08-24 00:24:37
6,,-1111111.0,2023-08-24 00:24:47
7,,75.0,2023-08-24 00:24:59
8,,28.0,2023-08-24 00:25:08
9,,61.0,2023-08-24 00:25:19
10,,55.0,2023-08-24 00:25:29
11,,18.0,2023-08-24 00:25:37
12,,26.0,2023-08-24 00:25:47
13,,15.0,2023-08-24 00:25:58
14,,43.0,2023-08-24 00:26:07
15,,13.0,2023-08-24 00:26:19
16,,113.0,2023-08-24 00:26:29
17,,135.0,2023-08-24 00:26:37
