id,formula_cal_id,source,val_pos,value,created
1,2,i,2,11.0,2023-08-18 00:57:52
2,2,e,4,7.0,2023-08-18 00:57:52
3,2,e,6,7.0,2023-08-18 00:57:52
4,3,i,2,7.0,2023-08-18 00:58:00
5,3,e,4,3.0,2023-08-18 00:58:00
6,3,e,6,3.0,2023-08-18 00:58:00
7,4,i,2,10.0,2023-08-18 00:58:08
8,4,e,4,5.0,2023-08-18 00:58:08
9,4,e,6,5.0,2023-08-18 00:58:08
10,5,i,2,7.0,2023-08-18 00:58:16
11,5,e,4,16.0,2023-08-18 00:58:16
12,5,e,6,16.0,2023-08-18 00:58:16
13,6,i,2,7.0,2023-08-18 00:58:24
14,6,e,4,7.0,2023-08-18 00:58:24
15,6,e,6,7.0,2023-08-18 00:58:24
16,7,i,2,11.0,2023-08-18 00:58:32
17,7,e,4,2.0,2023-08-18 00:58:32
18,7,e,6,2.0,2023-08-18 00:58:32
19,8,i,2,8.0,2023-08-18 00:58:40
20,8,e,4,12.0,2023-08-18 00:58:40
21,8,e,6,12.0,2023-08-18 00:58:40
22,9,i,2,9.0,2023-08-18 00:58:48
23,9,e,4,15.0,2023-08-18 00:58:48
24,9,e,6,15.0,2023-08-18 00:58:48
25,10,i,2,7.0,2023-08-18 00:58:56
26,10,e,4,3.0,2023-08-18 00:58:56
27,10,e,6,3.0,2023-08-18 00:58:56
28,11,i,2,9.0,2023-08-18 00:59:04
29,11,e,4,8.0,2023-08-18 00:59:04
30,11,e,6,8.0,2023-08-18 00:59:04
31,12,i,2,7.0,2023-08-18 00:59:12
32,12,e,4,18.0,2023-08-18 00:59:12
33,12,e,6,18.0,2023-08-18 00:59:12
34,13,i,2,11.0,2023-08-18 00:59:20
35,13,e,4,1.0,2023-08-18 00:59:20
36,13,e,6,1.0,2023-08-18 00:59:20
37,14,i,2,9.0,2023-08-18 00:59:28
38,14,e,4,7.0,2023-08-18 00:59:28
39,14,e,6,7.0,2023-08-18 00:59:28
40,15,i,2,8.0,2023-08-18 00:59:36
41,15,e,4,13.0,2023-08-18 00:59:36
42,15,e,6,13.0,2023-08-18 00:59:36
43,16,i,2,8.0,2023-08-18 00:59:44
44,16,e,4,2.0,2023-08-18 00:59:44
45,16,e,6,2.0,2023-08-18 00:59:44
