id,formula,calculated,created,status
1,,-1111111.0,2023-08-25 14:18:16,
2,,7.0,2023-08-25 14:18:25,
3,,9.0,2023-08-25 14:18:34,
4,,11.0,2023-08-25 14:18:43,
5,,7.0,2023-08-25 14:18:52,
6,,10.0,2023-08-25 14:19:01,
7,,8.0,2023-08-25 14:19:10,
8,,10.0,2023-08-25 14:19:19,
9,,8.0,2023-08-25 14:19:28,
10,,10.0,2023-08-25 14:19:37,
11,,7.0,2023-08-25 14:19:46,
12,,13.0,2023-08-25 14:19:55,
13,,7.0,2023-08-25 14:20:04,
14,,7.0,2023-08-25 14:20:13,
15,,10.0,2023-08-25 14:20:22,
16,,8.0,2023-08-25 14:20:31,
