id,formula_cal_id,source,val_pos,value,created
1,1,i,2,9.0,2023-08-16 22:56:58
2,1,e,4,12.0,2023-08-16 22:56:58
3,2,i,2,13.0,2023-08-16 22:57:10
4,2,e,4,8.0,2023-08-16 22:57:10
5,3,i,2,7.0,2023-08-16 22:57:14
6,3,e,4,12.0,2023-08-16 22:57:14
7,4,i,2,10.0,2023-08-16 22:57:20
8,4,e,4,12.0,2023-08-16 22:57:20
9,5,i,2,9.0,2023-08-16 22:57:26
10,5,e,4,10.0,2023-08-16 22:57:26
11,6,i,2,6.0,2023-08-16 22:57:32
12,6,e,4,12.0,2023-08-16 22:57:32
13,7,i,2,8.0,2023-08-16 22:57:39
14,7,e,4,13.0,2023-08-16 22:57:39
15,8,i,2,8.0,2023-08-16 22:57:44
16,8,e,4,7.0,2023-08-16 22:57:44
17,9,i,2,2.0,2023-08-16 22:57:51
18,9,e,4,10.0,2023-08-16 22:57:51
19,10,i,2,9.0,2023-08-16 22:57:56
20,10,e,4,7.0,2023-08-16 22:57:56
21,11,i,2,15.0,2023-08-16 22:58:03
22,11,e,4,8.0,2023-08-16 22:58:03
23,12,i,2,8.0,2023-08-16 22:58:09
24,12,e,4,11.0,2023-08-16 22:58:09
25,13,i,2,10.0,2023-08-16 22:58:15
26,13,e,4,9.0,2023-08-16 22:58:15
27,14,i,2,5.0,2023-08-16 22:58:20
28,14,e,4,8.0,2023-08-16 22:58:20
29,15,i,2,10.0,2023-08-16 22:58:27
30,15,e,4,10.0,2023-08-16 22:58:27
