id,formula_cal_id,source,val_pos,value,created
1,1,i,2,7.0,2023-08-16 23:45:08
2,1,e,4,8.0,2023-08-16 23:45:08
3,2,i,2,7.0,2023-08-16 23:45:17
4,2,e,4,9.0,2023-08-16 23:45:17
5,3,i,2,9.0,2023-08-16 23:45:26
6,3,e,4,4.0,2023-08-16 23:45:26
7,4,i,2,9.0,2023-08-16 23:45:35
8,4,e,4,3.0,2023-08-16 23:45:35
9,5,i,2,8.0,2023-08-16 23:45:44
10,5,e,4,10.0,2023-08-16 23:45:44
11,6,i,2,10.0,2023-08-16 23:45:53
12,6,e,4,14.0,2023-08-16 23:45:53
13,7,i,2,2.0,2023-08-16 23:46:02
14,7,e,4,10.0,2023-08-16 23:46:02
15,8,i,2,10.0,2023-08-16 23:46:11
16,8,e,4,9.0,2023-08-16 23:46:11
17,9,i,2,5.0,2023-08-16 23:46:20
18,9,e,4,4.0,2023-08-16 23:46:20
19,10,i,2,8.0,2023-08-16 23:46:29
20,10,e,4,8.0,2023-08-16 23:46:29
21,11,i,2,10.0,2023-08-16 23:46:38
22,11,e,4,7.0,2023-08-16 23:46:38
23,12,i,2,12.0,2023-08-16 23:46:47
24,12,e,4,10.0,2023-08-16 23:46:47
25,13,i,2,6.0,2023-08-16 23:46:56
26,13,e,4,11.0,2023-08-16 23:46:56
27,14,i,2,10.0,2023-08-16 23:47:05
28,14,e,4,6.0,2023-08-16 23:47:05
29,15,i,2,5.0,2023-08-16 23:47:14
30,15,e,4,7.0,2023-08-16 23:47:14
