id,formula,calculated,created
1,,-1111111.0,2023-05-25 12:24:36
2,,-1.0,2023-05-25 12:24:43
3,,1.25,2023-05-25 12:24:50
4,,-10.0,2023-05-25 12:24:57
5,,-13.5,2023-05-25 12:25:04
6,,-5.0,2023-05-25 12:25:11
7,,-6.0,2023-05-25 12:25:18
8,,-22.5,2023-05-25 12:25:25
9,,-13.333333333333334,2023-05-25 12:25:32
10,,-0.75,2023-05-25 12:25:39
11,,-8.0,2023-05-25 12:25:46
12,,1.6666666666666667,2023-05-25 12:25:53
13,,-7.5,2023-05-25 12:26:00
14,,-1.0,2023-05-25 12:26:07
15,,-4.0,2023-05-25 12:26:14
16,,-1.0,2023-05-25 12:26:21
