id,formula_cal_id,source,val_pos,value,created
1,1,i,2,3.0,2023-08-16 23:35:03
2,1,e,4,7.0,2023-08-16 23:35:03
3,3,i,2,5.0,2023-08-16 23:35:21
4,3,e,4,7.0,2023-08-16 23:35:21
5,4,i,2,5.0,2023-08-16 23:35:33
6,4,e,4,7.0,2023-08-16 23:35:33
7,5,i,2,3.0,2023-08-16 23:35:45
8,5,e,4,14.0,2023-08-16 23:35:45
9,6,i,2,3.0,2023-08-16 23:35:51
10,6,e,4,11.0,2023-08-16 23:35:51
11,7,i,2,3.0,2023-08-16 23:36:03
12,7,e,4,3.0,2023-08-16 23:36:03
13,8,i,2,3.0,2023-08-16 23:36:15
14,8,e,4,11.0,2023-08-16 23:36:15
15,9,i,2,5.0,2023-08-16 23:36:21
16,9,e,4,11.0,2023-08-16 23:36:21
17,10,i,2,3.0,2023-08-16 23:36:33
18,10,e,4,10.0,2023-08-16 23:36:33
19,11,i,2,4.0,2023-08-16 23:36:45
20,11,e,4,9.0,2023-08-16 23:36:45
21,12,i,2,3.0,2023-08-16 23:36:57
22,12,e,4,10.0,2023-08-16 23:36:57
23,13,i,2,4.0,2023-08-16 23:37:09
24,13,e,4,5.0,2023-08-16 23:37:09
25,14,i,2,4.0,2023-08-16 23:37:21
26,14,e,4,9.0,2023-08-16 23:37:21
27,15,i,2,5.0,2023-08-16 23:37:27
28,15,e,4,7.0,2023-08-16 23:37:27
29,16,i,2,5.0,2023-08-16 23:37:33
30,16,e,4,17.0,2023-08-16 23:37:33
