id,req_type,DT_ID,API_ID,value,used,created
1,POST,-111111111,-111111111,-111111111.0,0,2023-08-24 01:19:48
2,POST,2,7,8.0,0,2023-08-24 01:19:50
3,POST,-111111111,-111111111,-111111111.0,0,2023-08-24 01:19:51
4,POST,2,7,5.0,0,2023-08-24 01:19:57
5,POST,1,3,11.0,1,2023-08-24 01:20:10
6,POST,1,3,3.0,1,2023-08-24 01:20:12
7,POST,1,3,11.0,1,2023-08-24 01:20:25
8,POST,1,3,11.0,1,2023-08-24 01:20:28
9,POST,1,3,3.0,1,2023-08-24 01:20:44
10,POST,1,3,15.0,1,2023-08-24 01:20:47
11,POST,1,3,15.0,1,2023-08-24 01:21:01
12,POST,1,3,6.0,1,2023-08-24 01:21:05
13,POST,1,3,20.0,1,2023-08-24 01:21:21
14,POST,1,3,4.0,1,2023-08-24 01:21:25
15,POST,1,3,15.0,1,2023-08-24 01:21:38
16,POST,1,3,6.0,1,2023-08-24 01:21:41
17,POST,1,3,12.0,1,2023-08-24 01:21:56
18,POST,1,3,7.0,1,2023-08-24 01:21:58
19,POST,1,3,3.0,1,2023-08-24 01:22:17
20,POST,1,3,11.0,0,2023-08-24 01:22:21
21,POST,1,3,2.0,0,2023-08-24 01:22:42
22,POST,1,3,10.0,0,2023-08-24 01:22:46
23,POST,1,3,11.0,0,2023-08-24 01:23:02
24,POST,1,3,12.0,0,2023-08-24 01:23:04
25,POST,1,3,4.0,0,2023-08-24 01:23:19
26,POST,1,3,3.0,0,2023-08-24 01:23:22
27,POST,1,3,2.0,0,2023-08-24 01:23:38
28,POST,1,3,4.0,0,2023-08-24 01:23:40
29,POST,1,3,13.0,0,2023-08-24 01:23:52
30,POST,1,3,2.0,0,2023-08-24 01:23:55
31,POST,-111111111,-111111111,-111111111.0,0,2023-08-24 01:24:03
32,POST,1,3,10.0,0,2023-08-24 01:24:12
33,POST,1,3,6.0,0,2023-08-24 01:24:16
34,POST,2,7,10.0,0,2023-08-24 01:24:22
35,POST,1,3,2.0,0,2023-08-24 01:24:30
36,POST,1,3,11.0,0,2023-08-24 01:24:33
