id,req_type,DT_ID,API_ID,value,used,created
1,POST,1,3,5.0,1,2023-05-25 12:24:40
2,POST,1,3,5.0,1,2023-05-25 12:24:46
3,POST,1,3,9.0,1,2023-05-25 12:24:53
4,POST,1,3,12.0,1,2023-05-25 12:25:00
5,POST,1,3,8.0,1,2023-05-25 12:25:08
6,POST,1,3,13.0,1,2023-05-25 12:25:14
7,POST,1,3,18.0,1,2023-05-25 12:25:21
8,POST,1,3,11.0,1,2023-05-25 12:25:29
9,POST,1,3,4.0,1,2023-05-25 12:25:36
10,POST,1,3,12.0,1,2023-05-25 12:25:42
11,POST,1,3,6.0,1,2023-05-25 12:25:49
12,POST,1,3,13.0,1,2023-05-25 12:25:57
13,POST,1,3,5.0,1,2023-05-25 12:26:04
14,POST,1,3,8.0,1,2023-05-25 12:26:10
15,POST,1,3,6.0,1,2023-05-25 12:26:17
16,POST,1,3,7.0,0,2023-05-25 12:26:24
