id,DT_ID,type,trend,h,p,z,tau,s,var_s,slope,intercept,created
1,4,data_tbl,no trend,0,0.4523703606773608,-0.7514691493021795,-0.3333333333333333,-5.0,28.333333333333332,-1.25,12.125,2023-08-16 23:46:03
2,3,data_tbl,no trend,0,0.6133543559547467,-0.5052911526399114,-0.3,-3.0,15.666666666666666,-1.1666666666666665,12.333333333333332,2023-08-16 23:46:03
3,4,data_tbl,no trend,0,0.5791989941743758,-0.5545551196708386,-0.14545454545454545,-8.0,159.33333333333334,-0.14285714285714285,8.714285714285714,2023-08-16 23:46:51
4,3,data_tbl,no trend,0,0.4707029925114093,-0.7213357077339458,-0.2,-9.0,123.0,-0.3333333333333333,10.0,2023-08-16 23:46:51
5,4,data_tbl,no trend,0,0.48483567067000544,-0.6985462081918798,-0.14285714285714285,-15.0,401.6666666666667,-0.14285714285714285,9.0,2023-08-16 23:47:42
6,3,data_tbl,no trend,0,0.3972848501154584,-0.8464803161443476,-0.17142857142857143,-18.0,403.3333333333333,-0.25,9.75,2023-08-16 23:47:42
7,4,data_tbl,no trend,0,0.48483567067000544,-0.6985462081918798,-0.14285714285714285,-15.0,401.6666666666667,-0.14285714285714285,9.0,2023-08-16 23:47:42
8,3,data_tbl,no trend,0,0.3972848501154584,-0.8464803161443476,-0.17142857142857143,-18.0,403.3333333333333,-0.25,9.75,2023-08-16 23:47:42
