id,formula,calculated,created
1,,16.0,2023-08-18 00:49:22
2,,14.0,2023-08-18 00:49:30
3,,12.0,2023-08-18 00:49:38
4,,14.0,2023-08-18 00:49:46
5,,-1111111.0,2023-08-18 00:49:54
6,,18.0,2023-08-18 00:50:02
7,,6.0,2023-08-18 00:50:10
8,,42.0,2023-08-18 00:50:18
9,,6.0,2023-08-18 00:50:26
10,,7.0,2023-08-18 00:50:34
11,,6.0,2023-08-18 00:50:42
12,,12.0,2023-08-18 00:50:50
13,,14.0,2023-08-18 00:50:58
14,,-1111111.0,2023-08-18 00:51:06
15,,7.0,2023-08-18 00:51:14
16,,12.0,2023-08-18 00:51:22
17,,8.0,2023-08-18 00:51:30
