id,req_type,DT_ID,API_ID,value,used,created
1,POST,2,7,10.0,1,2023-08-24 00:23:55
2,GET,1,2,7.0,1,2023-08-24 00:23:57
3,POST,2,7,11.0,1,2023-08-24 00:23:59
4,POST,1,3,1.0,1,2023-08-24 00:24:00
5,POST,2,7,8.0,1,2023-08-24 00:24:08
6,GET,1,2,1.0,1,2023-08-24 00:24:09
7,POST,1,3,3.0,1,2023-08-24 00:24:15
8,POST,2,7,10.0,1,2023-08-24 00:24:16
9,GET,1,2,3.0,1,2023-08-24 00:24:17
10,POST,1,3,3.0,1,2023-08-24 00:24:24
11,POST,2,7,15.0,1,2023-08-24 00:24:25
12,GET,1,2,3.0,1,2023-08-24 00:24:27
13,POST,1,3,3.0,1,2023-08-24 00:24:34
14,POST,2,7,7.0,1,2023-08-24 00:24:34
15,GET,1,2,3.0,1,2023-08-24 00:24:37
16,POST,2,7,8.0,1,2023-08-24 00:24:46
17,GET,1,2,9.0,1,2023-08-24 00:24:47
18,POST,1,3,1.0,1,2023-08-24 00:24:49
19,POST,2,7,5.0,1,2023-08-24 00:24:57
20,GET,1,2,4.0,1,2023-08-24 00:24:59
21,POST,1,3,10.0,1,2023-08-24 00:24:59
22,POST,2,7,7.0,1,2023-08-24 00:25:04
23,GET,1,2,3.0,1,2023-08-24 00:25:08
24,POST,1,3,3.0,1,2023-08-24 00:25:11
25,POST,2,7,7.0,1,2023-08-24 00:25:16
26,GET,1,2,8.0,1,2023-08-24 00:25:19
27,POST,1,3,5.0,1,2023-08-24 00:25:25
28,POST,2,7,2.0,1,2023-08-24 00:25:25
29,GET,1,2,4.0,1,2023-08-24 00:25:29
30,POST,2,7,4.0,1,2023-08-24 00:25:30
31,POST,1,3,3.0,1,2023-08-24 00:25:35
32,GET,1,2,3.0,1,2023-08-24 00:25:37
33,POST,2,7,3.0,1,2023-08-24 00:25:40
34,POST,1,3,4.0,1,2023-08-24 00:25:43
35,GET,1,2,6.0,1,2023-08-24 00:25:47
36,POST,2,7,6.0,1,2023-08-24 00:25:47
37,POST,1,3,3.0,1,2023-08-24 00:25:49
38,POST,2,7,2.0,1,2023-08-24 00:25:55
39,POST,1,3,8.0,1,2023-08-24 00:25:56
40,GET,1,2,3.0,1,2023-08-24 00:25:58
41,POST,2,7,12.0,1,2023-08-24 00:26:01
42,POST,1,3,3.0,1,2023-08-24 00:26:04
43,GET,1,2,3.0,1,2023-08-24 00:26:07
44,POST,2,7,15.0,1,2023-08-24 00:26:09
45,POST,1,3,10.0,1,2023-08-24 00:26:10
46,POST,2,7,16.0,0,2023-08-24 00:26:16
47,GET,1,2,8.0,1,2023-08-24 00:26:19
48,POST,1,3,3.0,1,2023-08-24 00:26:20
49,POST,2,7,8.0,0,2023-08-24 00:26:28
50,GET,1,2,3.0,1,2023-08-24 00:26:29
51,POST,2,7,2.0,0,2023-08-24 00:26:36
52,GET,1,2,3.0,1,2023-08-24 00:26:37
53,POST,1,3,5.0,0,2023-08-24 00:26:43
54,POST,2,7,3.0,0,2023-08-24 00:26:44
55,POST,2,7,9.0,0,2023-08-24 00:26:49
