id,formula,calculated,created
1,,15.0,2023-08-16 23:45:08
2,,16.0,2023-08-16 23:45:17
3,,13.0,2023-08-16 23:45:26
4,,12.0,2023-08-16 23:45:35
5,,18.0,2023-08-16 23:45:44
6,,24.0,2023-08-16 23:45:53
7,,12.0,2023-08-16 23:46:02
8,,19.0,2023-08-16 23:46:11
9,,9.0,2023-08-16 23:46:20
10,,16.0,2023-08-16 23:46:29
11,,17.0,2023-08-16 23:46:38
12,,22.0,2023-08-16 23:46:47
13,,17.0,2023-08-16 23:46:56
14,,16.0,2023-08-16 23:47:05
15,,12.0,2023-08-16 23:47:14
