id,req_type,reciever_DT_ID,API_ID,value,created
1,POST,1,7,7.0,2023-08-16 23:35:01
2,POST,1,7,7.0,2023-08-16 23:35:10
3,POST,1,7,7.0,2023-08-16 23:35:18
4,POST,1,7,14.0,2023-08-16 23:35:27
5,POST,1,7,11.0,2023-08-16 23:35:36
6,POST,1,7,3.0,2023-08-16 23:35:45
7,POST,1,7,11.0,2023-08-16 23:35:54
8,POST,1,7,11.0,2023-08-16 23:36:04
9,POST,1,7,10.0,2023-08-16 23:36:12
10,POST,1,7,9.0,2023-08-16 23:36:21
11,POST,1,7,10.0,2023-08-16 23:36:30
12,POST,1,7,5.0,2023-08-16 23:36:39
13,POST,1,7,9.0,2023-08-16 23:36:48
14,POST,1,7,7.0,2023-08-16 23:36:57
15,POST,1,7,17.0,2023-08-16 23:37:07
16,POST,1,7,2.0,2023-08-16 23:37:15
17,POST,1,7,8.0,2023-08-16 23:37:27
18,POST,1,7,10.0,2023-08-16 23:37:35
