id,DT_ID,API_ID,elapsed_time,created
1,1,2,0.005131,2023-08-18 00:57:34
2,1,2,0.00518,2023-08-18 00:57:44
3,1,99,1.009085,2023-08-18 00:57:45
4,1,99,1.01229,2023-08-18 00:57:46
5,1,2,1.006516,2023-08-18 00:57:55
6,1,99,0.00421,2023-08-18 00:57:55
7,1,99,2.008413,2023-08-18 00:57:57
8,1,2,1.009561,2023-08-18 00:58:05
9,1,99,0.001963,2023-08-18 00:58:05
10,1,99,0.001874,2023-08-18 00:58:05
11,1,2,1.007921,2023-08-18 00:58:15
12,1,99,2.008577,2023-08-18 00:58:17
13,1,99,2.007426,2023-08-18 00:58:19
14,1,2,1.007563,2023-08-18 00:58:25
15,1,99,1.008972,2023-08-18 00:58:26
16,1,99,0.002989,2023-08-18 00:58:26
17,1,2,0.004663,2023-08-18 00:58:34
18,1,99,2.009249,2023-08-18 00:58:36
19,1,99,0.003263,2023-08-18 00:58:36
20,1,2,1.011668,2023-08-18 00:58:45
21,1,99,0.004238,2023-08-18 00:58:45
22,1,99,1.005536,2023-08-18 00:58:46
23,1,2,1.012286,2023-08-18 00:58:55
24,1,99,1.00463,2023-08-18 00:58:56
25,1,99,0.002378,2023-08-18 00:58:56
26,1,2,0.008834,2023-08-18 00:59:04
27,1,99,1.009021,2023-08-18 00:59:05
28,1,99,1.010409,2023-08-18 00:59:06
29,1,2,2.009992,2023-08-18 00:59:16
30,1,99,0.003388,2023-08-18 00:59:16
31,1,99,1.012799,2023-08-18 00:59:17
32,1,2,1.009358,2023-08-18 00:59:25
33,1,99,1.007366,2023-08-18 00:59:26
34,1,99,1.010799,2023-08-18 00:59:27
35,1,2,1.01144,2023-08-18 00:59:35
36,1,99,2.013792,2023-08-18 00:59:37
37,1,99,0.006672,2023-08-18 00:59:37
38,1,2,1.011177,2023-08-18 00:59:45
39,1,99,0.003822,2023-08-18 00:59:45
40,1,99,2.012677,2023-08-18 00:59:47
41,1,2,2.016193,2023-08-18 00:59:56
42,1,99,0.004323,2023-08-18 00:59:56
43,1,99,2.01037,2023-08-18 00:59:58
