id,formula,calculated,created
1,,-1111111.0,2023-05-27 14:25:46
2,,-1111111.0,2023-05-27 14:25:52
3,,15.0,2023-05-27 14:25:58
4,,80.0,2023-05-27 14:26:04
5,,45.0,2023-05-27 14:26:10
6,,-1111111.0,2023-05-27 14:26:16
7,,55.0,2023-05-27 14:26:22
8,,63.0,2023-05-27 14:26:28
9,,24.0,2023-05-27 14:26:34
10,,70.0,2023-05-27 14:26:40
11,,-1111111.0,2023-05-27 14:26:46
12,,24.0,2023-05-27 14:26:52
13,,42.0,2023-05-27 14:26:58
14,,15.0,2023-05-27 14:27:04
15,,-1111111.0,2023-05-27 14:27:10
16,,90.0,2023-05-27 14:27:16
17,,40.0,2023-05-27 14:27:22
18,,-1111111.0,2023-05-27 14:27:28
19,,45.0,2023-05-27 14:27:34
20,,15.0,2023-05-27 14:27:40
21,,30.0,2023-05-27 14:27:46
