id,req_type,reciever_DT_ID,API_ID,value,created
1,POST,1,7,11.0,2023-05-27 14:25:46
2,POST,1,7,9.0,2023-05-27 14:25:46
3,POST,1,7,11.0,2023-05-27 14:25:53
4,POST,1,7,7.0,2023-05-27 14:25:53
5,POST,1,7,7.0,2023-05-27 14:25:58
6,POST,1,7,10.0,2023-05-27 14:25:59
7,POST,1,7,9.0,2023-05-27 14:26:04
8,POST,1,7,8.0,2023-05-27 14:26:04
9,POST,1,7,8.0,2023-05-27 14:26:10
10,POST,1,7,13.0,2023-05-27 14:26:10
11,POST,1,7,5.0,2023-05-27 14:26:16
12,POST,1,7,1.0,2023-05-27 14:26:16
13,POST,1,7,7.0,2023-05-27 14:26:22
14,POST,1,7,7.0,2023-05-27 14:26:23
15,POST,1,7,13.0,2023-05-27 14:26:28
16,POST,1,7,6.0,2023-05-27 14:26:29
17,POST,1,7,9.0,2023-05-27 14:26:35
18,POST,1,7,10.0,2023-05-27 14:26:35
19,POST,1,7,3.0,2023-05-27 14:26:40
20,POST,1,7,8.0,2023-05-27 14:26:41
21,POST,1,7,10.0,2023-05-27 14:26:47
22,POST,1,7,7.0,2023-05-27 14:26:47
23,POST,1,7,12.0,2023-05-27 14:26:52
24,POST,1,7,6.0,2023-05-27 14:26:52
25,POST,1,7,5.0,2023-05-27 14:26:59
26,POST,1,7,3.0,2023-05-27 14:26:59
27,POST,1,7,9.0,2023-05-27 14:27:04
28,POST,1,7,1.0,2023-05-27 14:27:04
29,POST,1,7,9.0,2023-05-27 14:27:11
30,POST,1,7,7.0,2023-05-27 14:27:11
31,POST,1,7,8.0,2023-05-27 14:27:16
32,POST,1,7,8.0,2023-05-27 14:27:16
33,POST,1,7,4.0,2023-05-27 14:27:23
34,POST,1,7,11.0,2023-05-27 14:27:23
35,POST,1,7,10.0,2023-05-27 14:27:28
36,POST,1,7,4.0,2023-05-27 14:27:28
37,POST,1,7,7.0,2023-05-27 14:27:34
38,POST,1,7,13.0,2023-05-27 14:27:35
39,POST,1,7,10.0,2023-05-27 14:27:41
40,POST,1,7,2.0,2023-05-27 14:27:41
41,POST,1,7,8.0,2023-05-27 14:27:47
42,POST,1,7,3.0,2023-05-27 14:27:47
