id,req_type,reciever_DT_ID,API_ID,value,created
1,POST,4,11,8.0,2023-08-16 23:45:07
2,POST,1,11,8.0,2023-08-16 23:45:07
3,GET,None,9,13.0,2023-08-16 23:45:13
4,POST,4,11,9.0,2023-08-16 23:45:15
5,POST,1,11,6.0,2023-08-16 23:45:15
6,GET,None,9,10.0,2023-08-16 23:45:22
7,POST,4,11,4.0,2023-08-16 23:45:23
8,POST,1,11,8.0,2023-08-16 23:45:23
9,GET,None,9,6.0,2023-08-16 23:45:29
10,POST,4,11,3.0,2023-08-16 23:45:29
11,POST,1,11,9.0,2023-08-16 23:45:30
12,GET,None,9,14.0,2023-08-16 23:45:31
13,POST,4,11,10.0,2023-08-16 23:45:38
14,POST,1,11,5.0,2023-08-16 23:45:39
15,GET,None,9,6.0,2023-08-16 23:45:43
16,GET,None,9,7.0,2023-08-16 23:45:47
17,POST,4,11,14.0,2023-08-16 23:45:47
18,POST,1,11,9.0,2023-08-16 23:45:47
19,GET,None,9,5.0,2023-08-16 23:45:51
20,POST,4,11,10.0,2023-08-16 23:45:55
21,POST,1,11,4.0,2023-08-16 23:45:56
22,POST,4,11,9.0,2023-08-16 23:46:02
23,GET,None,9,10.0,2023-08-16 23:46:03
24,POST,1,11,7.0,2023-08-16 23:46:03
25,GET,None,9,10.0,2023-08-16 23:46:05
26,POST,4,11,4.0,2023-08-16 23:46:10
27,POST,1,11,8.0,2023-08-16 23:46:10
28,GET,None,9,8.0,2023-08-16 23:46:13
29,GET,None,9,6.0,2023-08-16 23:46:14
30,POST,4,11,8.0,2023-08-16 23:46:18
31,POST,1,11,6.0,2023-08-16 23:46:19
32,GET,None,9,1.0,2023-08-16 23:46:21
33,GET,None,9,9.0,2023-08-16 23:46:24
34,POST,4,11,7.0,2023-08-16 23:46:25
35,POST,1,11,7.0,2023-08-16 23:46:25
36,GET,None,9,9.0,2023-08-16 23:46:31
37,GET,None,9,6.0,2023-08-16 23:46:32
38,POST,4,11,10.0,2023-08-16 23:46:34
39,POST,1,11,3.0,2023-08-16 23:46:35
40,POST,4,11,11.0,2023-08-16 23:46:41
41,POST,1,11,3.0,2023-08-16 23:46:41
42,GET,None,9,17.0,2023-08-16 23:46:42
43,GET,None,9,13.0,2023-08-16 23:46:43
44,GET,None,9,5.0,2023-08-16 23:46:51
45,POST,4,11,6.0,2023-08-16 23:46:51
46,POST,1,11,9.0,2023-08-16 23:46:51
47,POST,4,11,7.0,2023-08-16 23:46:58
48,POST,1,11,5.0,2023-08-16 23:46:58
49,GET,None,9,8.0,2023-08-16 23:47:01
50,GET,None,9,11.0,2023-08-16 23:47:02
51,POST,4,11,4.0,2023-08-16 23:47:05
52,POST,1,11,14.0,2023-08-16 23:47:05
53,GET,None,9,3.0,2023-08-16 23:47:11
54,POST,4,11,16.0,2023-08-16 23:47:13
55,POST,1,11,5.0,2023-08-16 23:47:13
56,GET,None,9,8.0,2023-08-16 23:47:18
57,GET,None,9,13.0,2023-08-16 23:47:22
58,POST,4,11,1.0,2023-08-16 23:47:23
59,POST,1,11,13.0,2023-08-16 23:47:23
60,GET,None,9,7.0,2023-08-16 23:47:27
61,GET,None,9,6.0,2023-08-16 23:47:32
62,GET,None,9,3.0,2023-08-16 23:47:42
63,POST,4,11,12.0,2023-08-16 23:47:43
64,POST,1,11,11.0,2023-08-16 23:47:44
65,GET,None,9,3.0,2023-08-16 23:47:45
66,GET,None,9,7.0,2023-08-16 23:48:02
67,POST,4,11,14.0,2023-08-16 23:48:03
68,POST,1,11,17.0,2023-08-16 23:48:03
69,POST,4,11,4.0,2023-08-16 23:48:19
70,POST,1,11,12.0,2023-08-16 23:48:20
71,GET,None,9,1.0,2023-08-16 23:48:21
72,POST,4,11,8.0,2023-08-16 23:48:38
73,GET,None,9,6.0,2023-08-16 23:48:39
74,POST,1,11,3.0,2023-08-16 23:48:39
