id,req_type,DT_ID,API_ID,value,used,created,status
1,POST,2,7,9.0,0,2023-08-25 14:59:23,1
2,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:59:23,1
3,POST,2,7,9.0,0,2023-08-25 14:59:23,1
4,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:59:24,1
5,GET,1,2,10.0,1,2023-08-25 14:59:26,1
6,GET,1,2,8.0,1,2023-08-25 14:59:35,1
7,POST,1,3,10.0,1,2023-08-25 14:59:40,1
8,POST,1,3,13.0,1,2023-08-25 14:59:40,1
9,GET,1,2,10.0,1,2023-08-25 14:59:44,1
10,POST,1,3,7.0,1,2023-08-25 14:59:49,1
11,POST,1,3,12.0,1,2023-08-25 14:59:50,1
12,GET,1,2,7.0,1,2023-08-25 14:59:53,1
13,POST,1,3,10.0,1,2023-08-25 14:59:59,1
14,POST,1,3,11.0,1,2023-08-25 14:59:59,1
15,GET,1,2,10.0,1,2023-08-25 15:00:04,1
16,POST,1,3,7.0,1,2023-08-25 15:00:09,1
17,POST,1,3,10.0,1,2023-08-25 15:00:09,1
18,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 15:00:11,1
19,GET,1,2,10.0,1,2023-08-25 15:00:11,1
20,POST,1,3,8.0,1,2023-08-25 15:00:19,1
21,POST,1,3,9.0,1,2023-08-25 15:00:19,1
22,GET,1,2,11.0,1,2023-08-25 15:00:21,1
23,POST,2,7,10.0,0,2023-08-25 15:00:26,1
24,GET,1,2,9.0,1,2023-08-25 15:00:29,1
25,POST,1,3,8.0,1,2023-08-25 15:00:30,1
26,POST,1,3,12.0,1,2023-08-25 15:00:30,1
27,GET,1,2,13.0,1,2023-08-25 15:00:38,1
28,POST,1,3,8.0,1,2023-08-25 15:00:39,1
29,POST,1,3,10.0,1,2023-08-25 15:00:39,1
30,GET,1,2,11.0,1,2023-08-25 15:00:48,1
31,POST,1,3,7.0,1,2023-08-25 15:00:49,1
32,POST,1,3,10.0,0,2023-08-25 15:00:49,1
33,GET,1,2,7.0,1,2023-08-25 15:00:56,1
34,POST,1,3,10.0,0,2023-08-25 15:01:00,1
35,POST,1,3,8.0,0,2023-08-25 15:01:01,1
36,GET,1,2,7.0,1,2023-08-25 15:01:05,1
37,POST,1,3,12.0,0,2023-08-25 15:01:10,1
38,POST,1,3,10.0,0,2023-08-25 15:01:10,1
39,GET,1,2,12.0,1,2023-08-25 15:01:16,1
40,POST,1,3,10.0,0,2023-08-25 15:01:20,1
41,POST,1,3,10.0,0,2023-08-25 15:01:20,1
42,GET,1,2,13.0,1,2023-08-25 15:01:24,1
43,POST,1,3,9.0,0,2023-08-25 15:01:30,1
44,POST,1,3,9.0,0,2023-08-25 15:01:30,1
45,GET,1,2,9.0,1,2023-08-25 15:01:33,1
46,POST,1,3,11.0,0,2023-08-25 15:01:40,1
47,POST,1,3,11.0,0,2023-08-25 15:01:40,1
48,GET,1,2,9.0,1,2023-08-25 15:01:42,1
49,POST,1,3,10.0,0,2023-08-25 15:01:49,1
50,POST,1,3,7.0,0,2023-08-25 15:01:49,1
51,GET,1,2,7.0,1,2023-08-25 15:01:52,1
52,POST,1,3,10.0,0,2023-08-25 15:02:00,1
53,POST,1,3,9.0,0,2023-08-25 15:02:00,1
