id,req_type,DT_ID,API_ID,value,used,created,status
1,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:18:09,
2,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:18:10,
3,POST,1,3,4.0,0,2023-08-25 14:18:11,
4,POST,1,3,5.0,0,2023-08-25 14:18:12,
5,GET,2,6,9.0,1,2023-08-25 14:18:21,
6,GET,2,6,12.0,1,2023-08-25 14:18:27,
7,GET,2,6,11.0,1,2023-08-25 14:18:34,
8,GET,2,6,7.0,1,2023-08-25 14:18:39,
9,GET,2,6,10.0,1,2023-08-25 14:18:47,
10,GET,2,6,10.0,1,2023-08-25 14:18:52,
11,GET,2,6,7.0,1,2023-08-25 14:18:59,
12,GET,2,6,10.0,1,2023-08-25 14:19:05,
13,POST,1,3,5.0,0,2023-08-25 14:19:06,
14,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:19:08,
15,GET,2,6,9.0,1,2023-08-25 14:19:11,
16,GET,2,6,10.0,1,2023-08-25 14:19:17,
17,GET,2,6,9.0,1,2023-08-25 14:19:22,
18,GET,2,6,11.0,1,2023-08-25 14:19:27,
19,GET,2,6,11.0,1,2023-08-25 14:19:33,
20,GET,2,6,9.0,1,2023-08-25 14:19:41,
21,GET,2,6,7.0,1,2023-08-25 14:19:47,
