id,direction,req_type,DT_ID,API_ID,url,ex_dt_url,status,created
1,to,POST,4,11,http://127.0.0.1:9400/getpost/,http://127.0.0.1:9400,1,2023-08-16 23:44:59
2,to,POST,1,11,http://127.0.0.1:9200/getpost/,http://127.0.0.1:9200,1,2023-08-16 23:45:00
3,to,GET,1,9,http://127.0.0.1:9300/sendvalue,http://127.0.0.1:9200,1,2023-08-16 23:45:00
4,to,GET,5,9,http://127.0.0.1:9300/sendvalue,http://127.0.0.1:9500,1,2023-08-16 23:45:09
