id,formula,calculated,created
1,,-1111111.0,2023-08-16 22:56:50
2,,-1111111.0,2023-08-16 22:56:59
3,,9.0,2023-08-16 22:57:08
4,,7.0,2023-08-16 22:57:17
5,,10.0,2023-08-16 22:57:26
6,,11.0,2023-08-16 22:57:35
7,,8.0,2023-08-16 22:57:44
8,,7.0,2023-08-16 22:57:53
9,,11.0,2023-08-16 22:58:02
10,,7.0,2023-08-16 22:58:11
11,,8.0,2023-08-16 22:58:20
12,,8.0,2023-08-16 22:58:29
13,,10.0,2023-08-16 22:58:38
14,,9.0,2023-08-16 22:58:47
15,,12.0,2023-08-16 22:58:56
16,,10.0,2023-08-16 22:59:05
17,,9.0,2023-08-16 22:59:14
