id,req_type,reciever_DT_ID,API_ID,value,created
1,POST,2,3,5.0,2023-05-27 14:25:52
2,POST,2,3,5.0,2023-05-27 14:25:59
3,POST,2,3,5.0,2023-05-27 14:26:07
4,POST,2,3,5.0,2023-05-27 14:26:16
5,POST,2,3,7.0,2023-05-27 14:26:23
6,POST,2,3,6.0,2023-05-27 14:26:31
7,POST,2,3,5.0,2023-05-27 14:26:38
8,POST,2,3,6.0,2023-05-27 14:26:47
9,POST,2,3,6.0,2023-05-27 14:26:56
10,POST,2,3,5.0,2023-05-27 14:27:03
11,POST,2,3,6.0,2023-05-27 14:27:10
12,POST,2,3,5.0,2023-05-27 14:27:18
13,POST,2,3,5.0,2023-05-27 14:27:28
14,POST,2,3,5.0,2023-05-27 14:27:34
15,POST,2,3,6.0,2023-05-27 14:27:44
