id,req_type,DT_ID,API_ID,value,used,created
1,POST,3,11,8.0,1,2023-08-16 23:45:07
2,POST,3,11,9.0,1,2023-08-16 23:45:15
3,POST,3,11,4.0,1,2023-08-16 23:45:23
4,POST,3,11,3.0,1,2023-08-16 23:45:29
5,POST,3,11,10.0,1,2023-08-16 23:45:38
6,POST,3,11,14.0,1,2023-08-16 23:45:47
7,POST,3,11,10.0,1,2023-08-16 23:45:55
8,POST,3,11,9.0,1,2023-08-16 23:46:02
9,POST,3,11,4.0,1,2023-08-16 23:46:10
10,POST,3,11,8.0,1,2023-08-16 23:46:18
11,POST,3,11,7.0,1,2023-08-16 23:46:25
12,POST,3,11,10.0,1,2023-08-16 23:46:34
13,POST,3,11,11.0,1,2023-08-16 23:46:41
14,POST,3,11,6.0,1,2023-08-16 23:46:51
15,POST,3,11,7.0,1,2023-08-16 23:46:58
16,POST,3,11,4.0,0,2023-08-16 23:47:05
17,POST,3,11,16.0,0,2023-08-16 23:47:13
18,POST,3,11,1.0,0,2023-08-16 23:47:23
