id,formula,calculated,created
1,,-1111111.0,2023-08-16 23:35:00
2,,5.0,2023-08-16 23:35:09
3,,8.0,2023-08-16 23:35:18
4,,7.0,2023-08-16 23:35:27
5,,8.0,2023-08-16 23:35:36
6,,13.0,2023-08-16 23:35:45
7,,5.0,2023-08-16 23:35:54
8,,2.0,2023-08-16 23:36:03
9,,4.0,2023-08-16 23:36:12
10,,6.0,2023-08-16 23:36:21
11,,8.0,2023-08-16 23:36:30
12,,2.0,2023-08-16 23:36:39
13,,8.0,2023-08-16 23:36:48
14,,11.0,2023-08-16 23:36:57
15,,6.0,2023-08-16 23:37:06
16,,2.0,2023-08-16 23:37:15
