id,req_type,DT_ID,API_ID,value,used,created
1,POST,1,3,8.0,1,2023-08-16 22:57:00
2,POST,1,3,5.0,1,2023-08-16 22:57:02
3,POST,1,3,14.0,1,2023-08-16 22:57:10
4,POST,1,3,8.0,1,2023-08-16 22:57:11
5,POST,1,3,11.0,1,2023-08-16 22:57:15
6,POST,1,3,10.0,1,2023-08-16 22:57:16
7,POST,1,3,5.0,1,2023-08-16 22:57:21
8,POST,1,3,5.0,1,2023-08-16 22:57:23
9,POST,1,3,11.0,1,2023-08-16 22:57:28
10,POST,1,3,11.0,1,2023-08-16 22:57:28
11,POST,1,3,10.0,1,2023-08-16 22:57:34
12,POST,1,3,8.0,1,2023-08-16 22:57:34
13,POST,1,3,9.0,1,2023-08-16 22:57:39
14,POST,1,3,14.0,1,2023-08-16 22:57:41
15,POST,1,3,10.0,1,2023-08-16 22:57:45
16,POST,1,3,6.0,0,2023-08-16 22:57:45
17,POST,1,3,13.0,0,2023-08-16 22:57:51
18,POST,1,3,8.0,0,2023-08-16 22:57:51
19,POST,1,3,11.0,0,2023-08-16 22:57:57
20,POST,1,3,15.0,0,2023-08-16 22:57:59
21,POST,1,3,8.0,0,2023-08-16 22:58:04
22,POST,1,3,1.0,0,2023-08-16 22:58:05
23,POST,1,3,10.0,0,2023-08-16 22:58:10
24,POST,1,3,7.0,0,2023-08-16 22:58:12
25,POST,1,3,3.0,0,2023-08-16 22:58:16
26,POST,1,3,4.0,0,2023-08-16 22:58:16
27,POST,1,3,8.0,0,2023-08-16 22:58:20
28,POST,1,3,10.0,0,2023-08-16 22:58:21
29,POST,1,3,4.0,0,2023-08-16 22:58:28
30,POST,1,3,3.0,0,2023-08-16 22:58:29
31,POST,1,3,12.0,0,2023-08-16 22:58:43
32,POST,1,3,10.0,0,2023-08-16 22:58:43
33,POST,1,3,4.0,0,2023-08-16 22:58:55
34,POST,1,3,13.0,0,2023-08-16 22:58:56
35,POST,1,3,9.0,0,2023-08-16 22:59:08
36,POST,1,3,9.0,0,2023-08-16 22:59:08
