id,DT_ID,API_ID,elapsed_time,created,status
1,2,6,1.006965,2023-08-25 14:59:40,1
2,2,99,0.003143,2023-08-25 14:59:40,1
3,2,99,0.002839,2023-08-25 14:59:40,1
4,2,6,0.007161,2023-08-25 14:59:49,1
5,2,99,0.003327,2023-08-25 14:59:49,1
6,2,99,1.009877,2023-08-25 14:59:50,1
7,2,6,0.007087,2023-08-25 14:59:59,1
8,2,99,0.002969,2023-08-25 14:59:59,1
9,2,99,0.003626,2023-08-25 14:59:59,1
10,2,6,0.007697,2023-08-25 15:00:09,1
11,2,99,0.003208,2023-08-25 15:00:09,1
12,2,99,0.002876,2023-08-25 15:00:09,1
13,2,6,0.009003,2023-08-25 15:00:19,1
14,2,99,0.003395,2023-08-25 15:00:19,1
15,2,99,0.002911,2023-08-25 15:00:19,1
16,2,6,0.003058,2023-08-25 15:00:29,1
17,2,99,1.011883,2023-08-25 15:00:30,1
18,2,99,0.008049,2023-08-25 15:00:30,1
19,2,6,0.00703,2023-08-25 15:00:39,1
20,2,99,0.003302,2023-08-25 15:00:39,1
21,2,99,0.003416,2023-08-25 15:00:39,1
22,2,6,0.007811,2023-08-25 15:00:49,1
23,2,99,0.003372,2023-08-25 15:00:49,1
24,2,99,0.003036,2023-08-25 15:00:49,1
25,2,6,1.011225,2023-08-25 15:01:00,1
26,2,99,0.009678,2023-08-25 15:01:00,1
27,2,99,1.012727,2023-08-25 15:01:01,1
28,2,6,0.006312,2023-08-25 15:01:09,1
29,2,99,1.010923,2023-08-25 15:01:10,1
30,2,99,0.005423,2023-08-25 15:01:10,1
31,2,6,1.014885,2023-08-25 15:01:20,1
32,2,99,0.003629,2023-08-25 15:01:20,1
33,2,99,0.002845,2023-08-25 15:01:20,1
34,2,6,0.007824,2023-08-25 15:01:29,1
35,2,99,1.010879,2023-08-25 15:01:30,1
36,2,99,0.00452,2023-08-25 15:01:30,1
37,2,6,0.009025,2023-08-25 15:01:39,1
38,2,99,1.012193,2023-08-25 15:01:40,1
39,2,99,0.005862,2023-08-25 15:01:40,1
40,2,6,0.007811,2023-08-25 15:01:49,1
41,2,99,0.003338,2023-08-25 15:01:49,1
42,2,99,0.003345,2023-08-25 15:01:49,1
43,2,6,1.013985,2023-08-25 15:02:00,1
44,2,99,0.003483,2023-08-25 15:02:00,1
45,2,99,0.002962,2023-08-25 15:02:00,1
