id,DT_ID,stdev_value,created,status
1,-111111111,0.0,2023-08-25 14:18:47,
2,1,0.707,2023-08-25 14:18:47,
3,2,1.924,2023-08-25 14:18:47,
4,-111111111,0.0,2023-08-25 14:19:19,
5,1,0.577,2023-08-25 14:19:19,
6,2,1.581,2023-08-25 14:19:19,
7,-111111111,0.0,2023-08-25 14:19:48,
8,1,0.577,2023-08-25 14:19:48,
9,2,1.552,2023-08-25 14:19:48,
