id,formula_cal_id,source,val_pos,value,created,status
1,1,i,2,4.0,2023-08-25 14:18:21,
2,1,e,4,9.0,2023-08-25 14:18:21,
3,2,i,2,4.0,2023-08-25 14:18:27,
4,2,e,4,12.0,2023-08-25 14:18:27,
5,3,i,2,4.0,2023-08-25 14:18:34,
6,3,e,4,11.0,2023-08-25 14:18:34,
7,4,i,2,4.0,2023-08-25 14:18:39,
8,4,e,4,7.0,2023-08-25 14:18:39,
9,5,i,2,4.0,2023-08-25 14:18:47,
10,5,e,4,10.0,2023-08-25 14:18:47,
11,6,i,2,5.0,2023-08-25 14:18:52,
12,6,e,4,10.0,2023-08-25 14:18:52,
13,7,i,2,5.0,2023-08-25 14:18:59,
14,7,e,4,7.0,2023-08-25 14:18:59,
15,8,i,2,4.0,2023-08-25 14:19:05,
16,8,e,4,10.0,2023-08-25 14:19:05,
17,9,i,2,4.0,2023-08-25 14:19:11,
18,9,e,4,9.0,2023-08-25 14:19:11,
19,10,i,2,5.0,2023-08-25 14:19:17,
20,10,e,4,10.0,2023-08-25 14:19:17,
21,11,i,2,5.0,2023-08-25 14:19:22,
22,11,e,4,9.0,2023-08-25 14:19:22,
23,12,i,2,5.0,2023-08-25 14:19:27,
24,12,e,4,11.0,2023-08-25 14:19:27,
25,13,i,2,5.0,2023-08-25 14:19:33,
26,13,e,4,11.0,2023-08-25 14:19:33,
27,14,i,2,5.0,2023-08-25 14:19:41,
28,14,e,4,9.0,2023-08-25 14:19:41,
29,15,i,2,4.0,2023-08-25 14:19:47,
30,15,e,4,7.0,2023-08-25 14:19:47,
