id,formula_cal_id,source,val_pos,value,created
1,2,i,2,7.0,2023-08-18 00:49:28
2,2,e,4,1.0,2023-08-18 00:49:28
3,2,e,6,1.0,2023-08-18 00:49:28
4,3,i,2,6.0,2023-08-18 00:49:37
5,3,e,4,2.0,2023-08-18 00:49:37
6,3,e,6,2.0,2023-08-18 00:49:37
7,4,i,2,6.0,2023-08-18 00:49:45
8,4,e,4,4.0,2023-08-18 00:49:45
9,4,e,6,4.0,2023-08-18 00:49:45
10,5,i,2,6.0,2023-08-18 00:49:55
11,5,e,4,1.0,2023-08-18 00:49:55
12,5,e,6,1.0,2023-08-18 00:49:55
13,6,i,2,6.0,2023-08-18 00:50:04
14,6,e,4,4.0,2023-08-18 00:50:04
15,6,e,6,4.0,2023-08-18 00:50:04
16,7,i,2,6.0,2023-08-18 00:50:13
17,7,e,4,1.0,2023-08-18 00:50:13
18,7,e,6,1.0,2023-08-18 00:50:13
19,8,i,2,7.0,2023-08-18 00:50:22
20,8,e,4,2.0,2023-08-18 00:50:22
21,8,e,6,2.0,2023-08-18 00:50:22
22,9,i,2,7.0,2023-08-18 00:50:31
23,9,e,4,2.0,2023-08-18 00:50:31
24,9,e,6,2.0,2023-08-18 00:50:31
25,10,i,2,6.0,2023-08-18 00:50:39
26,10,e,4,1.0,2023-08-18 00:50:39
27,10,e,6,1.0,2023-08-18 00:50:39
28,11,i,2,6.0,2023-08-18 00:50:49
29,11,e,4,3.0,2023-08-18 00:50:49
30,11,e,6,3.0,2023-08-18 00:50:49
31,12,i,2,6.0,2023-08-18 00:50:58
32,12,e,4,1.0,2023-08-18 00:50:58
33,12,e,6,1.0,2023-08-18 00:50:58
34,13,i,2,6.0,2023-08-18 00:51:07
35,13,e,4,2.0,2023-08-18 00:51:07
36,13,e,6,2.0,2023-08-18 00:51:07
37,14,i,2,7.0,2023-08-18 00:51:16
38,14,e,4,7.0,2023-08-18 00:51:16
39,14,e,6,7.0,2023-08-18 00:51:16
40,15,i,2,6.0,2023-08-18 00:51:25
41,15,e,4,2.0,2023-08-18 00:51:25
42,15,e,6,2.0,2023-08-18 00:51:25
43,16,i,2,6.0,2023-08-18 00:51:33
44,16,e,4,2.0,2023-08-18 00:51:33
45,16,e,6,2.0,2023-08-18 00:51:33
