id,direction,req_type,DT_ID,API_ID,url,formula_position,status,created
1,from,GET,2,6,http://127.0.0.1:9100/sendvalue,4,1,2023-08-25 14:59:29
2,from,POST,2,7,http://127.0.0.1:9100/sendpost/,6,1,2023-08-25 14:59:29
