id,formula_cal_id,source,val_pos,value,created
1,1,i,2,18.0,2023-05-25 12:24:39
2,1,i,6,14.0,2023-05-25 12:24:39
3,1,e,4,3.0,2023-05-25 12:24:39
4,2,i,2,12.0,2023-05-25 12:24:46
5,2,i,6,6.0,2023-05-25 12:24:46
6,2,e,4,5.0,2023-05-25 12:24:46
7,3,i,2,12.0,2023-05-25 12:24:53
8,3,i,6,6.0,2023-05-25 12:24:53
9,3,e,4,3.0,2023-05-25 12:24:53
10,5,i,2,12.0,2023-05-25 12:25:07
11,5,i,6,11.0,2023-05-25 12:25:07
12,5,e,4,5.0,2023-05-25 12:25:07
13,6,i,2,6.0,2023-05-25 12:25:14
14,6,i,6,12.0,2023-05-25 12:25:14
15,6,e,4,4.0,2023-05-25 12:25:14
16,7,i,2,9.0,2023-05-25 12:25:21
17,7,i,6,12.0,2023-05-25 12:25:21
18,7,e,4,6.0,2023-05-25 12:25:21
19,8,i,2,5.0,2023-05-25 12:25:28
20,8,i,6,9.0,2023-05-25 12:25:28
21,8,e,4,3.0,2023-05-25 12:25:28
22,9,i,2,5.0,2023-05-25 12:25:35
23,9,i,6,3.0,2023-05-25 12:25:35
24,9,e,4,3.0,2023-05-25 12:25:35
25,10,i,2,14.0,2023-05-25 12:25:42
26,10,i,6,12.0,2023-05-25 12:25:42
27,10,e,4,3.0,2023-05-25 12:25:42
28,11,i,2,11.0,2023-05-25 12:25:49
29,11,i,6,5.0,2023-05-25 12:25:49
30,11,e,4,3.0,2023-05-25 12:25:49
31,12,i,2,10.0,2023-05-25 12:25:56
32,12,i,6,8.0,2023-05-25 12:25:56
33,12,e,4,3.0,2023-05-25 12:25:56
34,13,i,2,9.0,2023-05-25 12:26:03
35,13,i,6,11.0,2023-05-25 12:26:03
36,13,e,4,3.0,2023-05-25 12:26:03
37,14,i,2,6.0,2023-05-25 12:26:10
38,14,i,6,4.0,2023-05-25 12:26:10
39,14,e,4,4.0,2023-05-25 12:26:10
40,15,i,2,5.0,2023-05-25 12:26:17
41,15,i,6,5.0,2023-05-25 12:26:17
42,15,e,4,4.0,2023-05-25 12:26:17
43,16,i,2,4.0,2023-05-25 12:26:24
44,16,i,6,9.0,2023-05-25 12:26:24
45,16,e,4,3.0,2023-05-25 12:26:24
