id,req_type,DT_ID,API_ID,value,used,created
1,POST,2,7,7.0,1,2023-08-16 23:35:01
2,POST,2,7,7.0,1,2023-08-16 23:35:10
3,POST,2,7,7.0,1,2023-08-16 23:35:18
4,POST,2,7,14.0,1,2023-08-16 23:35:27
5,POST,2,7,11.0,1,2023-08-16 23:35:36
6,POST,2,7,3.0,1,2023-08-16 23:35:45
7,POST,2,7,11.0,1,2023-08-16 23:35:54
8,POST,2,7,11.0,1,2023-08-16 23:36:04
9,POST,2,7,10.0,1,2023-08-16 23:36:12
10,POST,2,7,9.0,1,2023-08-16 23:36:21
11,POST,2,7,10.0,1,2023-08-16 23:36:30
12,POST,2,7,5.0,1,2023-08-16 23:36:39
13,POST,2,7,9.0,1,2023-08-16 23:36:48
14,POST,2,7,7.0,1,2023-08-16 23:36:57
15,POST,2,7,17.0,1,2023-08-16 23:37:07
16,POST,2,7,2.0,0,2023-08-16 23:37:15
17,POST,2,7,8.0,0,2023-08-16 23:37:26
18,POST,2,7,10.0,0,2023-08-16 23:37:35
