id,direction,req_type,DT_ID,API_ID,url,ex_dt_url,status,created
1,to,GET,1,6,http://127.0.0.1:9100/sendvalue,http://127.0.0.1:9200,1,2023-08-25 14:59:29
2,to,POST,1,7,http://127.0.0.1:9200/getpost/,http://127.0.0.1:9200,1,2023-08-25 14:59:29
