id,req_type,reciever_DT_ID,API_ID,value,created,status
1,GET,None,6,10.0,2023-08-25 14:18:20,
2,GET,None,6,9.0,2023-08-25 14:18:21,
3,GET,None,6,10.0,2023-08-25 14:18:21,
4,GET,None,6,10.0,2023-08-25 14:18:22,
5,GET,None,6,10.0,2023-08-25 14:18:24,
6,GET,None,6,12.0,2023-08-25 14:18:27,
7,GET,None,6,10.0,2023-08-25 14:18:32,
8,GET,None,6,8.0,2023-08-25 14:18:33,
9,GET,None,6,7.0,2023-08-25 14:18:33,
10,GET,None,6,11.0,2023-08-25 14:18:34,
11,GET,None,6,8.0,2023-08-25 14:18:35,
12,GET,None,6,9.0,2023-08-25 14:18:36,
13,GET,None,6,12.0,2023-08-25 14:18:36,
14,GET,None,6,11.0,2023-08-25 14:18:37,
15,GET,None,6,11.0,2023-08-25 14:18:37,
16,GET,None,6,7.0,2023-08-25 14:18:37,
17,GET,None,6,8.0,2023-08-25 14:18:38,
18,GET,None,6,8.0,2023-08-25 14:18:39,
19,GET,None,6,7.0,2023-08-25 14:18:39,
20,GET,None,6,7.0,2023-08-25 14:18:40,
21,GET,None,6,9.0,2023-08-25 14:18:40,
22,GET,None,6,10.0,2023-08-25 14:18:41,
23,GET,None,6,11.0,2023-08-25 14:18:42,
24,GET,None,6,13.0,2023-08-25 14:18:43,
25,GET,None,6,14.0,2023-08-25 14:18:44,
26,GET,None,6,9.0,2023-08-25 14:18:44,
27,GET,None,6,8.0,2023-08-25 14:18:44,
28,GET,None,6,14.0,2023-08-25 14:18:44,
29,GET,None,6,8.0,2023-08-25 14:18:44,
30,GET,None,6,10.0,2023-08-25 14:18:44,
31,GET,None,6,13.0,2023-08-25 14:18:45,
32,GET,None,6,7.0,2023-08-25 14:18:45,
33,GET,None,6,9.0,2023-08-25 14:18:46,
34,GET,None,6,7.0,2023-08-25 14:18:46,
35,GET,None,6,14.0,2023-08-25 14:18:46,
36,GET,None,6,7.0,2023-08-25 14:18:47,
37,GET,None,6,10.0,2023-08-25 14:18:47,
38,GET,None,6,13.0,2023-08-25 14:18:48,
39,GET,None,6,13.0,2023-08-25 14:18:49,
40,GET,None,6,11.0,2023-08-25 14:18:52,
41,GET,None,6,10.0,2023-08-25 14:18:52,
42,GET,None,6,9.0,2023-08-25 14:18:56,
43,GET,None,6,7.0,2023-08-25 14:18:56,
44,GET,None,6,7.0,2023-08-25 14:18:56,
45,GET,None,6,7.0,2023-08-25 14:18:59,
46,GET,None,6,9.0,2023-08-25 14:19:00,
47,GET,None,6,7.0,2023-08-25 14:19:01,
48,GET,None,6,13.0,2023-08-25 14:19:03,
49,GET,None,6,10.0,2023-08-25 14:19:05,
50,GET,None,6,9.0,2023-08-25 14:19:11,
51,GET,None,6,10.0,2023-08-25 14:19:17,
52,GET,None,6,11.0,2023-08-25 14:19:18,
53,GET,None,6,9.0,2023-08-25 14:19:22,
54,GET,None,6,11.0,2023-08-25 14:19:27,
55,GET,None,6,11.0,2023-08-25 14:19:33,
56,GET,None,6,9.0,2023-08-25 14:19:41,
57,GET,None,6,7.0,2023-08-25 14:19:47,
