id,formula_cal_id,source,val_pos,value,created
1,1,i,2,10.0,2023-08-18 00:57:34
2,1,e,4,12.0,2023-08-18 00:57:34
3,2,i,2,7.0,2023-08-18 00:57:44
4,2,e,4,11.0,2023-08-18 00:57:44
5,3,i,2,7.0,2023-08-18 00:57:55
6,3,e,4,10.0,2023-08-18 00:57:55
7,4,i,2,7.0,2023-08-18 00:58:05
8,4,e,4,14.0,2023-08-18 00:58:05
9,5,i,2,10.0,2023-08-18 00:58:15
10,5,e,4,14.0,2023-08-18 00:58:15
11,6,i,2,14.0,2023-08-18 00:58:25
12,6,e,4,7.0,2023-08-18 00:58:25
13,7,i,2,6.0,2023-08-18 00:58:34
14,7,e,4,11.0,2023-08-18 00:58:34
15,8,i,2,12.0,2023-08-18 00:58:45
16,8,e,4,7.0,2023-08-18 00:58:45
17,9,i,2,14.0,2023-08-18 00:58:55
18,9,e,4,9.0,2023-08-18 00:58:55
19,10,i,2,5.0,2023-08-18 00:59:04
20,10,e,4,7.0,2023-08-18 00:59:04
21,11,i,2,7.0,2023-08-18 00:59:16
22,11,e,4,10.0,2023-08-18 00:59:16
23,12,i,2,11.0,2023-08-18 00:59:25
24,12,e,4,12.0,2023-08-18 00:59:25
25,13,i,2,16.0,2023-08-18 00:59:35
26,13,e,4,7.0,2023-08-18 00:59:35
27,14,i,2,11.0,2023-08-18 00:59:45
28,14,e,4,11.0,2023-08-18 00:59:45
29,15,i,2,5.0,2023-08-18 00:59:56
30,15,e,4,8.0,2023-08-18 00:59:56
