id,req_type,DT_ID,API_ID,value,used,created
1,POST,4,15,11.0,1,2023-08-16 23:45:18
2,GET,3,9,10.0,1,2023-08-16 23:45:22
3,POST,4,15,8.0,1,2023-08-16 23:45:26
4,GET,3,9,14.0,1,2023-08-16 23:45:31
5,POST,4,15,10.0,1,2023-08-16 23:45:35
6,GET,3,9,6.0,1,2023-08-16 23:45:43
7,POST,4,15,4.0,1,2023-08-16 23:45:44
8,GET,3,9,5.0,1,2023-08-16 23:45:51
9,POST,4,15,13.0,1,2023-08-16 23:45:53
10,POST,4,15,3.0,1,2023-08-16 23:46:02
11,GET,3,9,10.0,1,2023-08-16 23:46:03
12,POST,4,15,4.0,1,2023-08-16 23:46:11
13,GET,3,9,8.0,1,2023-08-16 23:46:13
14,GET,3,9,1.0,1,2023-08-16 23:46:21
15,POST,4,15,10.0,1,2023-08-16 23:46:21
16,POST,4,15,8.0,1,2023-08-16 23:46:29
17,GET,3,9,9.0,1,2023-08-16 23:46:31
18,POST,4,15,10.0,1,2023-08-16 23:46:38
19,GET,3,9,13.0,1,2023-08-16 23:46:43
20,POST,4,15,6.0,1,2023-08-16 23:46:47
21,GET,3,9,5.0,1,2023-08-16 23:46:51
22,POST,4,15,5.0,1,2023-08-16 23:46:56
23,GET,3,9,11.0,1,2023-08-16 23:47:02
24,POST,4,15,7.0,1,2023-08-16 23:47:05
25,GET,3,9,3.0,1,2023-08-16 23:47:11
26,POST,4,15,3.0,1,2023-08-16 23:47:14
27,GET,3,9,13.0,1,2023-08-16 23:47:22
28,POST,4,15,12.0,1,2023-08-16 23:47:28
29,GET,3,9,6.0,1,2023-08-16 23:47:32
30,GET,3,9,3.0,1,2023-08-16 23:47:42
