id,formula,calculated,created
1,,-1111111.0,2023-08-18 00:57:44
2,,11.0,2023-08-18 00:57:52
3,,7.0,2023-08-18 00:58:00
4,,10.0,2023-08-18 00:58:08
5,,7.0,2023-08-18 00:58:16
6,,7.0,2023-08-18 00:58:24
7,,11.0,2023-08-18 00:58:32
8,,8.0,2023-08-18 00:58:40
9,,9.0,2023-08-18 00:58:48
10,,7.0,2023-08-18 00:58:56
11,,9.0,2023-08-18 00:59:04
12,,7.0,2023-08-18 00:59:12
13,,11.0,2023-08-18 00:59:20
14,,9.0,2023-08-18 00:59:28
15,,8.0,2023-08-18 00:59:36
16,,8.0,2023-08-18 00:59:44
