id,DT_ID,API_ID,elapsed_time,created
1,2,99,4.013141,2023-05-27 14:25:52
2,2,99,3.010165,2023-05-27 14:25:59
3,2,99,3.007002,2023-05-27 14:26:07
4,2,99,4.012712,2023-05-27 14:26:16
5,2,99,3.011925,2023-05-27 14:26:23
6,2,99,3.009146,2023-05-27 14:26:31
7,2,99,2.011849,2023-05-27 14:26:38
8,2,99,3.008036,2023-05-27 14:26:47
9,2,99,4.008191,2023-05-27 14:26:56
10,2,99,3.012778,2023-05-27 14:27:03
11,2,99,2.012939,2023-05-27 14:27:10
12,2,99,2.013008,2023-05-27 14:27:18
13,2,99,4.004968,2023-05-27 14:27:28
14,2,99,2.007149,2023-05-27 14:27:34
15,2,99,4.006909,2023-05-27 14:27:44
