id,DT_ID,API_ID,elapsed_time,created
1,2,6,2.008014,2023-08-16 22:56:58
2,2,99,2.008063,2023-08-16 22:57:00
3,2,99,2.009097,2023-08-16 22:57:02
4,2,6,2.014061,2023-08-16 22:57:10
5,2,99,0.00375,2023-08-16 22:57:10
6,2,99,1.005819,2023-08-16 22:57:11
7,2,6,0.007147,2023-08-16 22:57:14
8,2,99,1.013422,2023-08-16 22:57:15
9,2,99,1.009086,2023-08-16 22:57:16
10,2,6,0.004948,2023-08-16 22:57:20
11,2,99,1.00969,2023-08-16 22:57:21
12,2,99,2.005729,2023-08-16 22:57:23
13,2,6,0.002252,2023-08-16 22:57:26
14,2,99,2.009494,2023-08-16 22:57:28
15,2,99,0.002176,2023-08-16 22:57:28
16,2,6,0.005916,2023-08-16 22:57:32
17,2,99,2.013358,2023-08-16 22:57:34
18,2,99,0.004275,2023-08-16 22:57:34
19,2,6,1.013258,2023-08-16 22:57:39
20,2,99,0.003514,2023-08-16 22:57:39
21,2,99,2.007646,2023-08-16 22:57:41
22,2,6,0.006394,2023-08-16 22:57:44
23,2,99,1.012355,2023-08-16 22:57:45
24,2,99,0.004152,2023-08-16 22:57:45
25,2,6,1.007088,2023-08-16 22:57:51
26,2,99,0.00176,2023-08-16 22:57:51
27,2,99,0.001495,2023-08-16 22:57:51
28,2,6,0.002303,2023-08-16 22:57:56
29,2,99,1.012458,2023-08-16 22:57:57
30,2,99,2.008365,2023-08-16 22:57:59
31,2,6,1.00722,2023-08-16 22:58:03
32,2,99,1.01123,2023-08-16 22:58:04
33,2,99,1.01106,2023-08-16 22:58:05
34,2,6,1.010296,2023-08-16 22:58:09
35,2,99,1.012509,2023-08-16 22:58:10
36,2,99,2.01337,2023-08-16 22:58:12
37,2,6,1.008202,2023-08-16 22:58:15
38,2,99,1.003162,2023-08-16 22:58:16
39,2,99,0.001626,2023-08-16 22:58:16
40,2,6,0.005362,2023-08-16 22:58:20
41,2,99,0.003404,2023-08-16 22:58:20
42,2,99,1.003947,2023-08-16 22:58:21
43,2,6,1.011313,2023-08-16 22:58:27
44,2,99,1.005234,2023-08-16 22:58:28
45,2,99,1.01217,2023-08-16 22:58:29
46,2,99,1.008123,2023-08-16 22:58:43
47,2,99,0.005609,2023-08-16 22:58:43
48,2,99,0.005414,2023-08-16 22:58:55
49,2,99,1.008831,2023-08-16 22:58:56
50,2,99,0.004261,2023-08-16 22:59:08
51,2,99,0.002883,2023-08-16 22:59:08
