id,DT_ID,API_ID,elapsed_time,created
1,1,2,0.007286,2023-08-24 00:23:57
2,1,2,2.006425,2023-08-24 00:24:09
3,1,2,0.007601,2023-08-24 00:24:17
4,1,2,0.003632,2023-08-24 00:24:27
5,1,2,0.004207,2023-08-24 00:24:37
6,1,2,0.004473,2023-08-24 00:24:47
7,1,2,2.010262,2023-08-24 00:24:59
8,1,2,1.005106,2023-08-24 00:25:08
9,1,2,2.009107,2023-08-24 00:25:19
10,1,2,2.0119,2023-08-24 00:25:29
11,1,2,0.007773,2023-08-24 00:25:37
12,1,2,0.005933,2023-08-24 00:25:47
13,1,2,1.005392,2023-08-24 00:25:58
14,1,2,0.0033,2023-08-24 00:26:07
15,1,2,2.010528,2023-08-24 00:26:19
16,1,2,2.007481,2023-08-24 00:26:29
17,1,2,0.00796,2023-08-24 00:26:37
