id,formula,calculated,created
1,,-1111111.0,2023-08-24 01:19:47
2,,-1111111.0,2023-08-24 01:19:56
3,,-1111111.0,2023-08-24 01:20:05
4,,1.0,2023-08-24 01:20:14
5,,4.0,2023-08-24 01:20:23
6,,12.0,2023-08-24 01:20:32
7,,8.0,2023-08-24 01:20:41
8,,11.0,2023-08-24 01:20:50
9,,6.0,2023-08-24 01:20:59
10,,6.0,2023-08-24 01:21:08
11,,8.0,2023-08-24 01:21:17
12,,9.0,2023-08-24 01:21:26
13,,3.0,2023-08-24 01:21:35
14,,10.0,2023-08-24 01:21:44
15,,5.0,2023-08-24 01:21:53
16,,10.0,2023-08-24 01:22:02
17,,13.0,2023-08-24 01:22:11
18,,10.0,2023-08-24 01:22:20
