id,formula_cal_id,source,val_pos,value,created
1,1,i,2,11.0,2023-08-24 01:20:07
2,1,e,4,11.0,2023-08-24 01:20:07
3,1,e,6,11.0,2023-08-24 01:20:07
4,1,e,8,11.0,2023-08-24 01:20:07
5,2,i,2,11.0,2023-08-24 01:20:23
6,2,e,4,7.0,2023-08-24 01:20:23
7,2,e,6,7.0,2023-08-24 01:20:23
8,2,e,8,7.0,2023-08-24 01:20:23
9,3,i,2,12.0,2023-08-24 01:20:42
10,3,e,4,16.0,2023-08-24 01:20:42
11,3,e,6,16.0,2023-08-24 01:20:42
12,3,e,8,16.0,2023-08-24 01:20:42
13,4,i,2,2.0,2023-08-24 01:20:57
14,4,e,4,15.0,2023-08-24 01:20:57
15,4,e,6,15.0,2023-08-24 01:20:57
16,4,e,8,15.0,2023-08-24 01:20:57
17,5,i,2,10.0,2023-08-24 01:21:18
18,5,e,4,4.0,2023-08-24 01:21:18
19,5,e,6,4.0,2023-08-24 01:21:18
20,5,e,8,4.0,2023-08-24 01:21:18
21,6,i,2,13.0,2023-08-24 01:21:36
22,6,e,4,7.0,2023-08-24 01:21:36
23,6,e,6,7.0,2023-08-24 01:21:36
24,6,e,8,7.0,2023-08-24 01:21:36
25,7,i,2,13.0,2023-08-24 01:21:54
26,7,e,4,14.0,2023-08-24 01:21:54
27,7,e,6,14.0,2023-08-24 01:21:54
28,7,e,8,14.0,2023-08-24 01:21:54
29,8,i,2,13.0,2023-08-24 01:22:15
30,8,e,4,9.0,2023-08-24 01:22:15
31,8,e,6,9.0,2023-08-24 01:22:15
32,8,e,8,9.0,2023-08-24 01:22:15
33,9,i,2,11.0,2023-08-24 01:22:38
34,9,e,4,2.0,2023-08-24 01:22:38
35,9,e,6,2.0,2023-08-24 01:22:38
36,9,e,8,2.0,2023-08-24 01:22:38
37,10,i,2,6.0,2023-08-24 01:22:59
38,10,e,4,5.0,2023-08-24 01:22:59
39,10,e,6,5.0,2023-08-24 01:22:59
40,10,e,8,5.0,2023-08-24 01:22:59
41,11,i,2,18.0,2023-08-24 01:23:16
42,11,e,4,15.0,2023-08-24 01:23:16
43,11,e,6,15.0,2023-08-24 01:23:16
44,11,e,8,15.0,2023-08-24 01:23:16
45,12,i,2,19.0,2023-08-24 01:23:35
46,12,e,4,6.0,2023-08-24 01:23:35
47,12,e,6,6.0,2023-08-24 01:23:35
48,12,e,8,6.0,2023-08-24 01:23:35
49,13,i,2,6.0,2023-08-24 01:23:50
50,13,e,4,13.0,2023-08-24 01:23:50
51,13,e,6,13.0,2023-08-24 01:23:50
52,13,e,8,13.0,2023-08-24 01:23:50
53,14,i,2,10.0,2023-08-24 01:24:10
54,14,e,4,4.0,2023-08-24 01:24:10
55,14,e,6,4.0,2023-08-24 01:24:10
56,14,e,8,4.0,2023-08-24 01:24:10
57,15,i,2,10.0,2023-08-24 01:24:27
58,15,e,4,5.0,2023-08-24 01:24:27
59,15,e,6,5.0,2023-08-24 01:24:27
60,15,e,8,5.0,2023-08-24 01:24:27
