id,req_type,DT_ID,API_ID,value,used,created
1,POST,2,7,7.0,1,2023-08-18 00:57:45
2,POST,2,7,3.0,1,2023-08-18 00:57:46
3,POST,2,7,5.0,1,2023-08-18 00:57:55
4,POST,2,7,16.0,1,2023-08-18 00:57:57
5,POST,2,7,7.0,1,2023-08-18 00:58:05
6,POST,2,7,2.0,1,2023-08-18 00:58:05
7,POST,2,7,12.0,1,2023-08-18 00:58:17
8,POST,2,7,15.0,1,2023-08-18 00:58:19
9,POST,2,7,3.0,1,2023-08-18 00:58:26
10,POST,2,7,8.0,1,2023-08-18 00:58:26
11,POST,2,7,18.0,1,2023-08-18 00:58:36
12,POST,2,7,1.0,1,2023-08-18 00:58:36
13,POST,2,7,7.0,1,2023-08-18 00:58:45
14,POST,2,7,13.0,1,2023-08-18 00:58:46
15,POST,2,7,2.0,1,2023-08-18 00:58:56
16,POST,2,7,7.0,0,2023-08-18 00:58:56
17,POST,2,7,13.0,0,2023-08-18 00:59:05
18,POST,2,7,8.0,0,2023-08-18 00:59:06
19,POST,2,7,8.0,0,2023-08-18 00:59:16
20,POST,2,7,4.0,0,2023-08-18 00:59:17
21,POST,2,7,3.0,0,2023-08-18 00:59:26
22,POST,2,7,3.0,0,2023-08-18 00:59:27
23,POST,2,7,6.0,0,2023-08-18 00:59:37
24,POST,2,7,3.0,0,2023-08-18 00:59:37
25,POST,2,7,3.0,0,2023-08-18 00:59:45
26,POST,2,7,8.0,0,2023-08-18 00:59:47
27,POST,2,7,11.0,0,2023-08-18 00:59:56
28,POST,2,7,5.0,0,2023-08-18 00:59:58
