id,DT_ID,type,trend,h,p,z,tau,s,var_s,slope,intercept,created
1,2,data_tbl,no trend,0,0.16690480637428706,-1.3822178973625951,-0.42857142857142855,-12.0,63.333333333333336,-0.6,11.1,2023-08-24 00:24:59
2,1,data_tbl,no trend,0,0.4131416775545138,0.8183774785616807,0.18181818181818185,12.0,180.66666666666663,0.0,3.0,2023-08-24 00:24:59
3,2,data_tbl,decreasing,1,0.002048342206130594,-3.083132079891037,-0.6538461538461539,-51.0,263.0,-0.6,10.6,2023-08-24 00:25:47
4,1,data_tbl,no trend,0,0.07861495076833269,1.758779601656726,0.2597402597402597,60.0,1125.3333333333333,0.07142857142857142,2.25,2023-08-24 00:25:47
5,2,data_tbl,no trend,0,0.21445584483912009,-1.2414058887311223,-0.20526315789473684,-39.0,937.0,-0.2792207792207792,10.152597402597404,2023-08-24 00:26:37
6,1,data_tbl,no trend,0,0.2226525184321737,1.2195051604311482,0.14112903225806453,70.0,3201.3333333333335,0.0,3.0,2023-08-24 00:26:37
7,2,data_tbl,no trend,0,0.21445584483912009,-1.2414058887311223,-0.20526315789473684,-39.0,937.0,-0.2792207792207792,10.152597402597404,2023-08-24 00:26:37
8,1,data_tbl,no trend,0,0.2226525184321737,1.2195051604311482,0.14112903225806453,70.0,3201.3333333333335,0.0,3.0,2023-08-24 00:26:37
