id,direction,req_type,DT_ID,API_ID,url,formula_position,status,created
1,from,POST,1,3,http://127.0.0.1:9200/sendpost/,4,1,2023-08-25 14:59:17
2,from,GET,1,2,http://127.0.0.1:9200/sendvalue,6,1,2023-08-25 14:59:17
3,from,POST,1,3,http://127.0.0.1:9200/sendpost/,8,1,2023-08-25 14:59:17
