id,formula_cal_id,source,val_pos,value,created
1,1,i,2,8.0,2023-08-16 23:45:22
2,1,e,4,10.0,2023-08-16 23:45:22
3,1,e,6,11.0,2023-08-16 23:45:22
4,2,i,2,10.0,2023-08-16 23:45:31
5,2,e,4,14.0,2023-08-16 23:45:31
6,2,e,6,8.0,2023-08-16 23:45:31
7,3,i,2,10.0,2023-08-16 23:45:43
8,3,e,4,6.0,2023-08-16 23:45:43
9,3,e,6,10.0,2023-08-16 23:45:43
10,4,i,2,11.0,2023-08-16 23:45:51
11,4,e,4,5.0,2023-08-16 23:45:51
12,4,e,6,4.0,2023-08-16 23:45:51
13,5,i,2,9.0,2023-08-16 23:46:03
14,5,e,4,10.0,2023-08-16 23:46:03
15,5,e,6,13.0,2023-08-16 23:46:03
16,6,i,2,12.0,2023-08-16 23:46:13
17,6,e,4,8.0,2023-08-16 23:46:13
18,6,e,6,3.0,2023-08-16 23:46:13
19,7,i,2,8.0,2023-08-16 23:46:21
20,7,e,4,1.0,2023-08-16 23:46:21
21,7,e,6,4.0,2023-08-16 23:46:21
22,8,i,2,8.0,2023-08-16 23:46:31
23,8,e,4,9.0,2023-08-16 23:46:31
24,8,e,6,10.0,2023-08-16 23:46:31
25,9,i,2,9.0,2023-08-16 23:46:43
26,9,e,4,13.0,2023-08-16 23:46:43
27,9,e,6,8.0,2023-08-16 23:46:43
28,10,i,2,8.0,2023-08-16 23:46:51
29,10,e,4,5.0,2023-08-16 23:46:51
30,10,e,6,10.0,2023-08-16 23:46:51
31,11,i,2,9.0,2023-08-16 23:47:02
32,11,e,4,11.0,2023-08-16 23:47:02
33,11,e,6,6.0,2023-08-16 23:47:02
34,12,i,2,8.0,2023-08-16 23:47:11
35,12,e,4,3.0,2023-08-16 23:47:11
36,12,e,6,5.0,2023-08-16 23:47:11
37,13,i,2,8.0,2023-08-16 23:47:22
38,13,e,4,13.0,2023-08-16 23:47:22
39,13,e,6,7.0,2023-08-16 23:47:22
40,14,i,2,8.0,2023-08-16 23:47:32
41,14,e,4,6.0,2023-08-16 23:47:32
42,14,e,6,3.0,2023-08-16 23:47:32
43,15,i,2,9.0,2023-08-16 23:47:42
44,15,e,4,3.0,2023-08-16 23:47:42
45,15,e,6,12.0,2023-08-16 23:47:42
