id,formula,calculated,created
1,,5.0,2023-05-27 14:25:48
2,,5.0,2023-05-27 14:25:56
3,,5.0,2023-05-27 14:26:04
4,,5.0,2023-05-27 14:26:12
5,,5.0,2023-05-27 14:26:20
6,,5.0,2023-05-27 14:26:28
7,,6.0,2023-05-27 14:26:36
8,,5.0,2023-05-27 14:26:44
9,,5.0,2023-05-27 14:26:52
10,,5.0,2023-05-27 14:27:00
11,,5.0,2023-05-27 14:27:08
12,,6.0,2023-05-27 14:27:16
13,,8.0,2023-05-27 14:27:24
14,,5.0,2023-05-27 14:27:32
15,,5.0,2023-05-27 14:27:40
