id,formula,calculated,created,status
1,,12.22222222222222,2023-08-25 14:59:40,1
2,,13.444444444444445,2023-08-25 14:59:49,1
3,,8.181818181818182,2023-08-25 14:59:59,1
4,,8.1,2023-08-25 15:00:09,1
5,,7.7,2023-08-25 15:00:19,1
6,,15.88888888888889,2023-08-25 15:00:29,1
7,,14.0,2023-08-25 15:00:39,1
8,,13.0,2023-08-25 15:00:49,1
9,,9.9,2023-08-25 15:01:00,1
10,,9.77777777777778,2023-08-25 15:01:09,1
11,,11.0,2023-08-25 15:01:20,1
12,,9.0,2023-08-25 15:01:29,1
13,,10.0,2023-08-25 15:01:39,1
14,,9.0,2023-08-25 15:01:49,1
15,,9.0,2023-08-25 15:02:00,1
