id,req_type,reciever_DT_ID,API_ID,value,created,status
1,GET,None,6,9.0,2023-08-25 14:59:29,1
2,GET,None,6,10.0,2023-08-25 14:59:30,1
3,GET,None,6,9.0,2023-08-25 14:59:30,1
4,GET,None,6,11.0,2023-08-25 14:59:30,1
5,GET,None,6,9.0,2023-08-25 14:59:32,1
6,GET,None,6,10.0,2023-08-25 14:59:34,1
7,GET,None,6,10.0,2023-08-25 14:59:36,1
8,POST,1,7,9.0,2023-08-25 14:59:36,1
9,GET,None,6,11.0,2023-08-25 14:59:40,1
10,GET,None,6,9.0,2023-08-25 14:59:41,1
11,GET,None,6,9.0,2023-08-25 14:59:41,1
12,GET,None,6,12.0,2023-08-25 14:59:41,1
13,GET,None,6,9.0,2023-08-25 14:59:42,1
14,GET,None,6,10.0,2023-08-25 14:59:42,1
15,GET,None,6,11.0,2023-08-25 14:59:42,1
16,GET,None,6,9.0,2023-08-25 14:59:42,1
17,GET,None,6,10.0,2023-08-25 14:59:42,1
18,GET,None,6,10.0,2023-08-25 14:59:43,1
19,GET,None,6,10.0,2023-08-25 14:59:43,1
20,GET,None,6,10.0,2023-08-25 14:59:44,1
21,GET,None,6,11.0,2023-08-25 14:59:44,1
22,GET,None,6,12.0,2023-08-25 14:59:44,1
23,POST,1,7,9.0,2023-08-25 14:59:44,1
24,GET,None,6,12.0,2023-08-25 14:59:45,1
25,GET,None,6,10.0,2023-08-25 14:59:45,1
26,GET,None,6,11.0,2023-08-25 14:59:45,1
27,GET,None,6,9.0,2023-08-25 14:59:46,1
28,GET,None,6,12.0,2023-08-25 14:59:46,1
29,GET,None,6,11.0,2023-08-25 14:59:49,1
30,GET,None,6,9.0,2023-08-25 14:59:51,1
31,GET,None,6,14.0,2023-08-25 14:59:51,1
32,GET,None,6,10.0,2023-08-25 14:59:51,1
33,GET,None,6,9.0,2023-08-25 14:59:52,1
34,GET,None,6,9.0,2023-08-25 14:59:53,1
35,POST,1,7,11.0,2023-08-25 14:59:53,1
36,GET,None,6,12.0,2023-08-25 14:59:54,1
37,GET,None,6,9.0,2023-08-25 14:59:55,1
38,GET,None,6,10.0,2023-08-25 14:59:55,1
39,GET,None,6,9.0,2023-08-25 14:59:56,1
40,GET,None,6,10.0,2023-08-25 14:59:56,1
41,GET,None,6,9.0,2023-08-25 14:59:57,1
42,GET,None,6,9.0,2023-08-25 14:59:58,1
43,GET,None,6,9.0,2023-08-25 14:59:58,1
44,GET,None,6,13.0,2023-08-25 14:59:58,1
45,GET,None,6,9.0,2023-08-25 14:59:58,1
46,GET,None,6,9.0,2023-08-25 14:59:58,1
47,GET,None,6,10.0,2023-08-25 14:59:58,1
48,GET,None,6,9.0,2023-08-25 14:59:58,1
49,GET,None,6,9.0,2023-08-25 14:59:59,1
50,GET,None,6,9.0,2023-08-25 14:59:59,1
51,POST,1,7,10.0,2023-08-25 15:00:04,1
52,GET,None,6,9.0,2023-08-25 15:00:09,1
53,GET,None,6,9.0,2023-08-25 15:00:12,1
54,POST,1,7,10.0,2023-08-25 15:00:12,1
55,GET,None,6,11.0,2023-08-25 15:00:19,1
56,POST,1,7,9.0,2023-08-25 15:00:23,1
57,GET,None,6,13.0,2023-08-25 15:00:29,1
58,POST,1,7,10.0,2023-08-25 15:00:30,1
59,POST,1,7,9.0,2023-08-25 15:00:38,1
60,GET,None,6,10.0,2023-08-25 15:00:39,1
61,GET,None,6,9.0,2023-08-25 15:00:49,1
62,POST,1,7,10.0,2023-08-25 15:00:50,1
63,POST,1,7,9.0,2023-08-25 15:00:56,1
64,GET,None,6,9.0,2023-08-25 15:01:00,1
65,POST,1,7,9.0,2023-08-25 15:01:05,1
66,GET,None,6,11.0,2023-08-25 15:01:09,1
67,POST,1,7,9.0,2023-08-25 15:01:16,1
68,GET,None,6,9.0,2023-08-25 15:01:20,1
69,POST,1,7,9.0,2023-08-25 15:01:24,1
70,GET,None,6,9.0,2023-08-25 15:01:29,1
71,POST,1,7,10.0,2023-08-25 15:01:35,1
72,GET,None,6,9.0,2023-08-25 15:01:39,1
73,POST,1,7,9.0,2023-08-25 15:01:42,1
74,GET,None,6,9.0,2023-08-25 15:01:49,1
75,POST,1,7,11.0,2023-08-25 15:01:52,1
76,GET,None,6,9.0,2023-08-25 15:02:00,1
