id,req_type,DT_ID,API_ID,value,used,created
1,POST,3,11,8.0,1,2023-08-16 23:45:07
2,GET,3,9,13.0,1,2023-08-16 23:45:13
3,POST,3,11,6.0,1,2023-08-16 23:45:15
4,POST,3,11,8.0,1,2023-08-16 23:45:23
5,GET,3,9,6.0,1,2023-08-16 23:45:29
6,POST,3,11,9.0,1,2023-08-16 23:45:30
7,POST,3,11,5.0,1,2023-08-16 23:45:39
8,GET,3,9,7.0,1,2023-08-16 23:45:47
9,POST,3,11,9.0,1,2023-08-16 23:45:47
10,POST,3,11,4.0,1,2023-08-16 23:45:56
11,POST,3,11,7.0,1,2023-08-16 23:46:03
12,GET,3,9,10.0,1,2023-08-16 23:46:05
13,POST,3,11,8.0,1,2023-08-16 23:46:10
14,GET,3,9,6.0,1,2023-08-16 23:46:14
15,POST,3,11,6.0,1,2023-08-16 23:46:19
16,GET,3,9,9.0,1,2023-08-16 23:46:24
17,POST,3,11,7.0,1,2023-08-16 23:46:25
18,GET,3,9,6.0,1,2023-08-16 23:46:32
19,POST,3,11,3.0,1,2023-08-16 23:46:35
20,POST,3,11,3.0,1,2023-08-16 23:46:41
21,GET,3,9,17.0,1,2023-08-16 23:46:42
22,POST,3,11,9.0,1,2023-08-16 23:46:51
23,POST,3,11,5.0,1,2023-08-16 23:46:58
24,GET,3,9,8.0,1,2023-08-16 23:47:01
25,POST,3,11,14.0,0,2023-08-16 23:47:05
26,POST,3,11,5.0,0,2023-08-16 23:47:13
27,GET,3,9,8.0,1,2023-08-16 23:47:18
28,POST,3,11,13.0,0,2023-08-16 23:47:23
29,GET,3,9,7.0,1,2023-08-16 23:47:27
30,POST,3,11,11.0,0,2023-08-16 23:47:44
31,GET,3,9,3.0,1,2023-08-16 23:47:45
32,GET,3,9,7.0,1,2023-08-16 23:48:02
33,POST,3,11,17.0,0,2023-08-16 23:48:03
34,POST,3,11,12.0,0,2023-08-16 23:48:20
35,GET,3,9,1.0,1,2023-08-16 23:48:21
36,GET,3,9,6.0,1,2023-08-16 23:48:39
37,POST,3,11,3.0,0,2023-08-16 23:48:39
