id,formula,calculated,created
1,,139.0,2023-08-16 23:45:06
2,,-2.0,2023-08-16 23:45:16
3,,17.0,2023-08-16 23:45:26
4,,59.0,2023-08-16 23:45:36
5,,34.0,2023-08-16 23:45:45
6,,111.0,2023-08-16 23:45:55
7,,39.0,2023-08-16 23:46:05
8,,39.0,2023-08-16 23:46:15
9,,8.0,2023-08-16 23:46:26
10,,181.0,2023-08-16 23:46:35
11,,134.0,2023-08-16 23:46:46
12,,57.0,2023-08-16 23:46:55
13,,16.0,2023-08-16 23:47:05
14,,-2.0,2023-08-16 23:47:15
15,,127.0,2023-08-16 23:47:26
