id,formula_cal_id,source,val_pos,value,created
1,3,i,2,14.0,2023-08-16 23:45:19
2,3,e,4,7.0,2023-08-16 23:45:19
3,3,e,6,7.0,2023-08-16 23:45:19
4,4,i,2,6.0,2023-08-16 23:45:27
5,4,e,4,7.0,2023-08-16 23:45:27
6,4,e,6,7.0,2023-08-16 23:45:27
7,5,i,2,13.0,2023-08-16 23:45:35
8,5,e,4,6.0,2023-08-16 23:45:35
9,5,e,6,6.0,2023-08-16 23:45:35
10,6,i,2,1.0,2023-08-16 23:45:43
11,6,e,4,6.0,2023-08-16 23:45:43
12,6,e,6,6.0,2023-08-16 23:45:43
13,7,i,2,10.0,2023-08-16 23:45:51
14,7,e,4,6.0,2023-08-16 23:45:51
15,7,e,6,6.0,2023-08-16 23:45:51
16,8,i,2,10.0,2023-08-16 23:45:59
17,8,e,4,6.0,2023-08-16 23:45:59
18,8,e,6,6.0,2023-08-16 23:45:59
19,10,i,2,15.0,2023-08-16 23:46:15
20,10,e,4,6.0,2023-08-16 23:46:15
21,10,e,6,6.0,2023-08-16 23:46:15
22,11,i,2,11.0,2023-08-16 23:46:23
23,11,e,4,6.0,2023-08-16 23:46:23
24,11,e,6,6.0,2023-08-16 23:46:23
25,12,i,2,3.0,2023-08-16 23:46:31
26,12,e,4,7.0,2023-08-16 23:46:31
27,12,e,6,7.0,2023-08-16 23:46:31
28,13,i,2,6.0,2023-08-16 23:46:39
29,13,e,4,6.0,2023-08-16 23:46:39
30,13,e,6,6.0,2023-08-16 23:46:39
31,14,i,2,9.0,2023-08-16 23:46:47
32,14,e,4,6.0,2023-08-16 23:46:47
33,14,e,6,6.0,2023-08-16 23:46:47
34,15,i,2,13.0,2023-08-16 23:46:55
35,15,e,4,6.0,2023-08-16 23:46:55
36,15,e,6,6.0,2023-08-16 23:46:55
37,16,i,2,18.0,2023-08-16 23:47:03
38,16,e,4,6.0,2023-08-16 23:47:03
39,16,e,6,6.0,2023-08-16 23:47:03
40,17,i,2,7.0,2023-08-16 23:47:11
41,17,e,4,6.0,2023-08-16 23:47:11
42,17,e,6,6.0,2023-08-16 23:47:11
43,18,i,2,9.0,2023-08-16 23:47:19
44,18,e,4,7.0,2023-08-16 23:47:19
45,18,e,6,7.0,2023-08-16 23:47:19
