id,req_type,reciever_DT_ID,API_ID,value,created
1,GET,None,2,6.0,2023-08-16 23:45:06
2,POST,3,3,7.0,2023-08-16 23:45:15
3,GET,None,2,6.0,2023-08-16 23:45:16
4,POST,3,3,7.0,2023-08-16 23:45:19
5,GET,None,2,6.0,2023-08-16 23:45:26
6,POST,3,3,6.0,2023-08-16 23:45:33
7,POST,3,3,6.0,2023-08-16 23:45:36
8,GET,None,2,9.0,2023-08-16 23:45:36
9,GET,None,2,9.0,2023-08-16 23:45:45
10,POST,3,3,6.0,2023-08-16 23:45:50
11,POST,3,3,6.0,2023-08-16 23:45:54
12,GET,None,2,6.0,2023-08-16 23:45:55
13,GET,None,2,6.0,2023-08-16 23:46:05
14,POST,3,3,6.0,2023-08-16 23:46:08
15,POST,3,3,6.0,2023-08-16 23:46:10
16,GET,None,2,6.0,2023-08-16 23:46:15
17,POST,3,3,7.0,2023-08-16 23:46:16
18,POST,3,3,6.0,2023-08-16 23:46:19
19,POST,3,3,6.0,2023-08-16 23:46:26
20,GET,None,2,6.0,2023-08-16 23:46:26
21,POST,3,3,6.0,2023-08-16 23:46:28
22,POST,3,3,6.0,2023-08-16 23:46:34
23,GET,None,2,6.0,2023-08-16 23:46:35
24,POST,3,3,6.0,2023-08-16 23:46:38
25,POST,3,3,7.0,2023-08-16 23:46:46
26,GET,None,2,7.0,2023-08-16 23:46:46
27,POST,3,3,6.0,2023-08-16 23:46:50
28,GET,None,2,10.0,2023-08-16 23:46:55
29,POST,3,3,7.0,2023-08-16 23:47:04
30,GET,None,2,6.0,2023-08-16 23:47:05
31,POST,3,3,7.0,2023-08-16 23:47:06
32,GET,None,2,6.0,2023-08-16 23:47:15
33,POST,3,3,7.0,2023-08-16 23:47:20
34,POST,3,3,6.0,2023-08-16 23:47:22
35,GET,None,2,8.0,2023-08-16 23:47:26
36,POST,3,3,6.0,2023-08-16 23:47:30
37,POST,3,3,7.0,2023-08-16 23:47:34
38,POST,3,3,8.0,2023-08-16 23:47:48
39,POST,3,3,7.0,2023-08-16 23:47:51
40,POST,3,3,10.0,2023-08-16 23:48:06
41,POST,3,3,6.0,2023-08-16 23:48:09
42,POST,3,3,8.0,2023-08-16 23:48:24
43,POST,3,3,6.0,2023-08-16 23:48:28
44,POST,3,3,6.0,2023-08-16 23:48:41
45,POST,3,3,6.0,2023-08-16 23:48:43
