id,req_type,DT_ID,API_ID,value,used,created,status
1,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:18:15,
2,POST,2,7,10.0,0,2023-08-25 14:18:16,
3,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:18:16,
4,POST,2,7,8.0,0,2023-08-25 14:18:19,
5,POST,1,3,4.0,1,2023-08-25 14:18:21,
6,POST,1,3,4.0,1,2023-08-25 14:18:22,
7,POST,1,3,4.0,1,2023-08-25 14:18:29,
8,POST,1,3,4.0,1,2023-08-25 14:18:29,
9,POST,1,3,4.0,1,2023-08-25 14:18:34,
10,POST,1,3,4.0,1,2023-08-25 14:18:36,
11,POST,1,3,4.0,1,2023-08-25 14:18:39,
12,POST,1,3,4.0,1,2023-08-25 14:18:40,
13,POST,1,3,4.0,1,2023-08-25 14:18:47,
14,POST,1,3,4.0,1,2023-08-25 14:18:47,
15,POST,1,3,4.0,1,2023-08-25 14:18:54,
16,POST,1,3,4.0,1,2023-08-25 14:18:56,
17,POST,1,3,4.0,1,2023-08-25 14:18:59,
18,POST,1,3,4.0,1,2023-08-25 14:19:01,
19,POST,1,3,4.0,1,2023-08-25 14:19:06,
20,POST,1,3,4.0,0,2023-08-25 14:19:06,
21,POST,1,3,7.0,0,2023-08-25 14:19:11,
22,POST,1,3,4.0,0,2023-08-25 14:19:12,
23,POST,1,3,4.0,0,2023-08-25 14:19:18,
24,POST,1,3,5.0,0,2023-08-25 14:19:19,
25,POST,1,3,4.0,0,2023-08-25 14:19:23,
26,POST,1,3,4.0,0,2023-08-25 14:19:23,
27,POST,1,3,4.0,0,2023-08-25 14:19:28,
28,POST,1,3,6.0,0,2023-08-25 14:19:29,
29,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:19:31,
30,POST,1,3,4.0,0,2023-08-25 14:19:35,
31,POST,1,3,4.0,0,2023-08-25 14:19:35,
32,POST,1,3,6.0,0,2023-08-25 14:19:41,
33,POST,1,3,5.0,0,2023-08-25 14:19:42,
34,POST,1,3,4.0,0,2023-08-25 14:19:48,
35,POST,1,3,4.0,0,2023-08-25 14:19:48,
36,POST,1,3,4.0,0,2023-08-25 14:20:01,
37,POST,1,3,4.0,0,2023-08-25 14:20:01,
38,POST,2,7,13.0,0,2023-08-25 14:20:07,
39,POST,1,3,5.0,0,2023-08-25 14:20:13,
40,POST,1,3,5.0,0,2023-08-25 14:20:14,
41,POST,1,3,4.0,0,2023-08-25 14:20:27,
42,POST,1,3,4.0,0,2023-08-25 14:20:29,
